Statistikområde,Befolkning,Hushall,PersonerPerHushall
Herrängen,3878,1233,3.15
Långsjö,3032,972,3.12
Kälvesta,4566,1466,3.11
Bromma kyrka,2694,869,3.1
Södra Ängby,1623,540,3.01
Mälarhöjden,4404,1478,2.98
Rinkeby,17096,5731,2.98
Nälsta,5040,1697,2.97
Ålsten,3205,1080,2.97
Eneby,869,300,2.9
Bällsta,828,287,2.89
Höglandet,1363,474,2.88
Tensta,18545,6490,2.86
Hässelby Villastad,18974,6868,2.76
Flysta,2292,839,2.73
