Namn,Typ,Kategori,Gata,Nr,Lat,Lon,Stadsdel
"Preem - Stockholm,Islandstorget",fuel,Bensinmack,Bergslagsvägen,,59.3463943,17.8938708,Södra Ängby
Nockeby Pizzeria,restaurant,Restaurang & Snabbmat,Skaldevägen,,59.3294442,17.928936,Nockeby
al Caminetto,restaurant,Restaurang & Snabbmat,Gustavslundsvägen,,59.3328927,17.9774152,Alvik
ICA Nära Abrahamsberg,supermarket,Matbutik,Abrahamsbergsvägen,8,59.3361456,17.9518695,Bromma
Sorbon,restaurant,Restaurang & Snabbmat,Drottningholmsvägen,,59.3399236,17.9405182,Bromma
ICA Supermarket Alviks Torg,supermarket,Matbutik,Drottningholmsvägen,,59.3327076,17.9829618,Traneberg
ICA Supermarket,supermarket,Matbutik,Tunnlandet,,59.3380314,17.9383011,Åkeslund
ICA HM:s Livs,supermarket,Matbutik,Bergviksvägen,,59.3232066,17.9567889,Ålsten
Coop Engströms Livs,supermarket,Matbutik,Nockeby Torg,,59.3288554,17.9286351,Bromma
Apotek Hjärtat,pharmacy,Apotek,Nockeby Torg,2-4,59.3290947,17.9287271,Bromma
Nockeby bageri,cafe,Kafé,Nockeby Torg,,59.3289102,17.9279354,Nockeby
ICA Nära Smelivs,supermarket,Matbutik,Sunnerdahlsplan,,59.3209746,17.9724739,Smedslätten
Park Konditori,cafe,Kafé,Västerled,4,59.3290661,17.9733633,Äppelviken
McDonald's,fast_food,Restaurang & Snabbmat,Tunnlandet,,59.3386853,17.938783,Bromma
Caffè Nero,cafe,Kafé,Gustavslundsvägen,,59.332752,17.9816507,Alvik
Vedugnen i Alvik,restaurant,Restaurang & Snabbmat,Ryggåsgatan,,59.3321012,17.9744164,Alvik
Ålstens Pizzeria,fast_food,Restaurang & Snabbmat,Ålstensgatan,,59.3226193,17.9564095,Ålsten
Gateau,cafe,Kafé,Ålstensgatan,26,59.3223291,17.9556424,Ålsten
Apoteket,pharmacy,Apotek,Vidängsvägen,,59.3350061,17.9780238,Alvik
Kullens,restaurant,Restaurang & Snabbmat,Vidängsvägen,,59.335329,17.9795122,Traneberg
Stammisstället,restaurant,Restaurang & Snabbmat,Ängby torg,4,59.3473014,17.9079113,Norra Ängby
Björklunds hage,playground,Lekplats,Runforskarvägen,,59.3484479,17.9014054,Norra Ängby
East Ocean,restaurant,Restaurang & Snabbmat,Tunnlandet,,59.3391073,17.9388025,Bromma
Resturang Bryggan,restaurant,Restaurang & Snabbmat,Lusthusbacken,,59.317994,17.9447759,Ålsten
La Rustica,cafe,Kafé,Långskeppsgatan,3,59.3513794,17.9000021,Beckomberga
Torghörnan,cafe,Kafé,Ängby torg,3,59.3468849,17.9085116,Norra Ängby
Kronans Apotek,pharmacy,Apotek,Ulvsundavägen,185-187,59.3565847,17.9519799,Mariehäll
Shiva,restaurant,Restaurang & Snabbmat,Dalgången,13,59.3311297,17.9112186,Nockebyhov
Brommaplans Bibliotek,library,Bibliotek,Klädesvägen,,59.3387884,17.9401533,Bromma
Sushi Bar Kirin,restaurant,Restaurang & Snabbmat,Knypplerskevägen,,59.3392166,17.9378171,Bromma
Bromma Thai,restaurant,Restaurang & Snabbmat,Rånövägen,5,59.3333107,17.9244454,Nockeby
Sofie's,fast_food,Restaurang & Snabbmat,Hemslöjdsvägen,,59.3379176,17.953079,Ulvsunda
Brommaplans Grillen,fast_food,Restaurang & Snabbmat,Kvarnbacksvägen,,59.3423027,17.9501741,Bromma
Gateau,cafe,Kafé,Färjestadsvägen,6,59.3418988,17.905965,Norra Ängby
Ängby Sushi & Thai,restaurant,Restaurang & Snabbmat,Färjestadsvägen,,59.341486,17.9055784,Norra Ängby
Oh! Delhi,restaurant,Restaurang & Snabbmat,Kvarnbacksvägen,133,59.3401238,17.9409471,Bromma
Bromma Pizzeria,restaurant,Restaurang & Snabbmat,Klädesvägen,,59.3387354,17.9407566,Bromma
Appetito,restaurant,Restaurang & Snabbmat,Västerled,183,59.3288385,17.938666,Olovslund
Brasserie Maison,restaurant,Restaurang & Snabbmat,Rörläggarvägen,,59.3308229,17.9466098,Abrahamsberg
Coop Brommaplan,supermarket,Matbutik,Klädesvägen,12,59.3385721,17.9394968,Bromma
Apoteket,pharmacy,Apotek,Klädesvägen,,59.3388684,17.9396897,Bromma
Pizzeria La Bella,restaurant,Restaurang & Snabbmat,Gustav III:s Väg,,59.3339835,17.9477962,Abrahamsberg
Tropical Wok & Sushi,restaurant,Restaurang & Snabbmat,Gustav III:s Väg,,59.3340656,17.9480429,Abrahamsberg
Kanazawa Sushi Bar,restaurant,Restaurang & Snabbmat,Ulvsundavägen,,59.3350797,17.9690771,Ulvsunda
Drottningholms Pizzeria,restaurant,Restaurang & Snabbmat,Rånövägen,,59.3333467,17.924382,Nockeby
Pizzeria Tranan,restaurant,Restaurang & Snabbmat,Tranebergsvägen,,59.3355624,17.978447,Traneberg
Dignity,restaurant,Restaurang & Snabbmat,Ulvsundavägen,10,59.3351501,17.9687169,Ulvsunda
Restaurang Figaro,restaurant,Restaurang & Snabbmat,Per Ekströms Väg,,59.3455873,17.8938441,Södra Ängby
Restaurang China House,restaurant,Restaurang & Snabbmat,Bergslagsvägen,264,59.3472311,17.8945147,Södra Ängby
Pizzeria Islandstorget,restaurant,Restaurang & Snabbmat,Cederströmsvägen,,59.3466991,17.892908,Södra Ängby
Zorba Pizzeria,fast_food,Restaurang & Snabbmat,Bällstavägen,,59.3563838,17.9106348,Bromma kyrka
Lomsak thaiwok,fast_food,Restaurang & Snabbmat,Spångavägen,,59.3569646,17.9099118,Eneby
Café Blomma,cafe,Kafé,Åkeshovs Gårdsväg,,59.3415549,17.9269697,Åkeshov
Waynes coffee,cafe,Kafé,Gårdsfogdevägen,,59.356948,17.956732,Mariehäll
Coop Nära Minneberg,supermarket,Matbutik,Svartviks Torg,,59.3393269,17.9894805,Traneberg
Abrahamsbergs Sushi,restaurant,Restaurang & Snabbmat,Bävervägen,,59.3361288,17.952701,Abrahamsberg
Trafikskola,driving_school,Trafikskola,Linta gårdsväg,,59.3486749,17.9406777,Riksby
Thai isaan restaurang,restaurant,Restaurang & Snabbmat,Voltavägen,,59.345016,17.969834,Ulvsunda industriområde
Lekplats,playground,Lekplats,Köpsvängen,,59.3549796,17.9563841,Mariehäll
Lekplats,playground,Lekplats,Emils Gata,,59.3633596,17.9484247,Mariehäll
Gäddan,playground,Lekplats,Ronja Rövardotters Stig,,59.3635019,17.9474061,Mariehäll
STC,fitness_centre,Gym/Utomhusgym,Annedalsvägen,,59.3651762,17.9496682,Mariehäll
MLG Sushi,restaurant,Restaurang & Snabbmat,Pippi Långstrumps Gata,21,59.3640664,17.9465871,Mariehäll
Kronans Apotek,pharmacy,Apotek,Vidängsplan,,59.3330529,17.9805444,Alvik
Alviks Bibliotek,library,Bibliotek,Gustavslundsvägen,,59.3327618,17.9823693,Alvik
Daiichi,fast_food,Restaurang & Snabbmat,Tunnlandet,,59.3390231,17.939339,Bromma
Joe & The Juice,cafe,Kafé,Gustavslundsvägen,18,59.3325288,17.9830495,Alvik
Rasmus grill,fast_food,Restaurang & Snabbmat,Tunnlandet,,59.3387764,17.9388636,Bromma
Systembolaget,alcohol,Systembolag,Klädesvägen,,59.3388216,17.9399936,Bromma
Circle K,fuel,Bensinmack,Alviksskälet,,59.3329833,17.9755326,Alvik
Annedals Thai takeaway,restaurant,Restaurang & Snabbmat,Bällstaågatan,12,59.3639396,17.9539292,Mariehäll
Max,fast_food,Restaurang & Snabbmat,Ulvsundavägen,,59.3505928,17.95733,Ulvsunda industriområde
Melanders Alvik,restaurant,Restaurang & Snabbmat,Gustavslundsvägen,14,59.332443,17.9837094,Alvik
Restaurang Tryffel,restaurant,Restaurang & Snabbmat,Porfyrvägen,25,59.3364592,17.9879367,Traneberg
Ålstensgatan 15,cafe,Kafé,Ålstensgatan,,59.3236708,17.9569248,Ålsten
