id,kategori,namn,gatuadress,postnummer,stad,koordinat_east,koordinat_north
10547,förskola,Förskolan Metapontum,Stora Mans Väg 11D,12559,Älvsjö,148655,6573898
9169,förskola,Förskolan Råbyvägen,Råbyvägen 34,12543,Älvsjö,151397,6573563
7663,förskola,Förskolan Stormfågeln AB,Ivar Vidfamnes Gata 20,12652,Hägersten,149221,6576981
9166,förskola,Förskolan Vingåkersvägen,Vingåkersvägen 22–26,12540,Älvsjö,151714,6573324
10401,förskola,Förskolan Änglan AB,Våxtorpsgränd 18,12573,Älvsjö,151868,6574764
10564,förskola,Förskolan Örnbacken,Örnbacken 34,12651,Hägersten,149317,6577121
10284,förskola,Föräldrakooperativet Trumslagaren,Trumslagargatan 10,12534,Älvsjö,149886,6573491
8423,förskola,Föräldrakooperativet Vildkatten,Tegelbruksvägen 31,12634,Hägersten,150735,6579164
7197,förskola,Gläntan Lotterivägen 17,Lotterivägen 17,12932,Hägersten,148864,6575750
9477,förskola,Gläntan Östbergabackarna 50,Östbergabackarna 50,12572,Älvsjö,151760,6574730
10050,förskola,Grodan,Störtloppsvägen 36,12945,Hägersten,148091,6575470
6773,förskola,Grågåsen,Erik Segersälls väg 24–30,12650,Hägersten,149951,6576951
10614,förskola,Hasselbacken,Personnevägen 78,12935,Hägersten,148593,6575898
8612,förskola,Hattis,Hattmakarbacken 11,12942,Hägersten,147286,6575742
7713,förskola,I Ur och Skur Vindleken,Långsjövägen 12,12530,Älvsjö,149862,6573262
10728,förskola,I Ur och Skur Vinterelvan,Örnbacken 4,12651,Hägersten,149461,6577153
8664,förskola,Instrumentet,Instrumentvägen 32,12653,Hägersten,149106,6576914
8631,förskola,Jungfru Lona,Kinmanssonsvägen 47,12938,Hägersten,148419,6576477
8703,förskola,Kastanjen Majstångsvägen 6,Majstångsvägen 6,12633,Hägersten,150515,6576459
8725,förskola,Kata Dalström,Kata Dalströms gata 23,12954,Hägersten,147619,6574504
30310,förskola,Kobran,Mobilgatan 3B,12626,Hägersten,149378,6575858
6748,förskola,Korpen,Schlytersvägen 55,12650,Hägersten,150137,6576793
10462,förskola,Kristallen,Isgränd 6,12946,Hägersten,148145,6575076
8959,förskola,Kroppås,Sankt Mickelsgatan 122,12941,Hägersten,147697,6575891
6695,förskola,Lillskogen,Karlslundsvägen 10,12552,Älvsjö,149189,6572618
7081,förskola,LM-gården,Trettondagsvägen 7–9,12636,Hägersten,149850,6576069
8684,förskola,Luren,Kransbindarvägen 120,12636,Hägersten,149769,6576283
10718,förskola,Långbropark förskola,Stora mans väg 11B,12559,Älvsjö,148589,6574006
8700,förskola,Långsjö,Gårdstigen 19,12552,Älvsjö,148508,6572342
8955,förskola,Majamyra,Torsslowsbacken 2,12937,Hägersten,148613,6576794
6734,förskola,Matrisen,Långsjövägen 14,12530,Älvsjö,149819,6573229
10526,förskola,Metronomen,Radiusbacken 31,12629,Hägersten,150233,6575909
9884,förskola,Mineralen,Skodonsvägen 9,12677,Hägersten,150362,6574878
8759,förskola,Montessoriförskolan Regnbågen,Krattvägen 20,12532,Älvsjö,149269,6574403
8769,förskola,Muminstugan,Vantörsvägen 150,12557,Älvsjö,148843,6573521
10303,förskola,Norlandia förskolor Måsen,Blommensbergsvägen 163 och 180,12652,Hägersten,149621,6576741
6844,förskola,Orkestern,Responsgatan 1,12629,Hägersten,150161,6575810
6847,förskola,Paletten Huvudfabriksgatan 18–20,Huvudfabriksgatan 18–20,12626,Hägersten,149472,6576076
8802,förskola,Prästängen,Prästgårdsgränd 16,12544,Älvsjö,150609,6574001
10263,förskola,Pysslingen Förskolor Isälven,Kamrerarvägen 19,12930,Hägersten,149201,6575449
9621,förskola,Pysslingen Mälarhöjdsparken,Emilia Fogelklous gata 10,12957,Hägersten,147266,6574438
9614,förskola,Pysslingen Sagoträdet,Långbrovägen 55,12533,Älvsjö,149476,6573972
9319,förskola,Pysslingen Smältrullen,Borrvägen 5,12638,Hägersten,149880,6575438
9304,förskola,Pysslingen Typografen,Gösta Ekmans Väg 7,12935,Hägersten,148917,6576492
9618,förskola,Pysslingen Örtagården,Örtagårdsvägen 1–2,12534,Älvsjö,149720,6573866
9893,förskola,Regnbågen Slättgårdsvägen 72,Slättgårdsvägen 72,12942,Hägersten,147220,6575171
7423,förskola,Rödkulla,Långängsvägen 56,12556,Älvsjö,148295,6573215
7051,förskola,Rönneberga,Vattenledningsvägen 24 A och B,12633,Hägersten,150612,6576477
8681,förskola,Sjöberget,Torsten Alms gata 86,12651,Hägersten,149195,6577107
6969,förskola,Sjöstjärnan Rävsnäsvägen 77–79,Rävsnäsvägen 77–79,12570,Älvsjö,151632,6573879
10611,förskola,Skatboet,Valutavägen 90,12934,Hägersten,148804,6575636
10300,förskola,Skattkistan Sandalettgatan 9,Sandalettgatan 9,12547,Älvsjö,150423,6574081
6798,förskola,Smeden,Klensmedsvägen 10,12638,Hägersten,149810,6575583
10684,förskola,Snabelskon,Sulvägen 62,12640,Hägersten,150574,6574353
8798,förskola,Snöbollen,Snöbollsgränd 3,12945,Hägersten,147807,6575133
8765,förskola,Snöripan,Snöripsvägen 34,12556,Älvsjö,148792,6573074
10293,förskola,Solkatten,Midsommarvägen 20,12635,Hägersten,150594,6576195
6815,förskola,Solkatten Medaljonggatan 10–14,Medaljonggatan 10–14,12641,Hägersten,149853,6574196
6763,förskola,Solstrålen Hägerstensvägen 179,Hägerstensvägen 179,12653,Hägersten,149426,6576627
8805,förskola,Solängen,Solberga Ängsväg 4–6,12544,Älvsjö,150773,6574002
7054,förskola,Svandammsgården,Cedergrensvägen 5–7,12636,Hägersten,150157,6576435
8541,förskola,Svanens förskola vid Telefonplan,Flygelgatan 1,12628,Hägersten,150096,6575869
7112,förskola,Sylvester,Sylvestergatan 2–6,12571,Älvsjö,151709,6574450
10210,förskola,Tellusbarn Pusslet,Mockasinvägen 24,12639,Hägersten,150893,6574254
8616,förskola,Toppen,Persmässgränd 16,12944,Hägersten,147534,6575597
9483,förskola,"Treklövern, Stamgatan 2 A",Stamgatan 2 A,12574,Älvsjö,152359,6574305
6661,förskola,Trollsländan,Sulvägen 22,12640,Hägersten,150271,6574576
8772,förskola,Vasan,Vasaloppsvägen 110,12945,Hägersten,147806,6575220
8457,förskola,"Vi som växer, Förskolan Vansö",Vansövägen 4,12540,Älvsjö,151944,6573103
8688,förskola,Viveln,Vivelvägen 40,12533,Älvsjö,149457,6573599
8695,förskola,Vågavilja,Gårdstigen 1,12552,Älvsjö,148662,6572317
8628,förskola,Åsen,Sedelvägen 2B,12932,Hägersten,149162,6575777
10557,förskola,Älvens Förskola,Älvsjö gårdsväg 3–9,12542,Älvsjö,150554,6573532
9639,förskola,Älvsjö förskola,Långbrodalsvägen 1,12532,Älvsjö,150109,6573809
7834,förskola,Älvsjöbarnen,Murgrönsvägen 17,12555,Älvsjö,148168,6573488
6792,förskola,Älvskogen,Långsjövägen 33,12530,Älvsjö,149677,6573107
7121,förskola,Äppelängen,Täckhammarsvägen 21,12571,Älvsjö,152014,6574069
