Namn,Typ,Kategori,Gata,Nr,Lat,Lon
Cachay,cafe,Kafé,N/A,,59.2940156,17.976807
Tang Ji,restaurant,Restaurang & Snabbmat,N/A,,59.3042013,17.9748353
Tandläkare,dentist,Tandläkare,N/A,,59.3009479,17.9580862
Brödernas,restaurant,Restaurang & Snabbmat,N/A,,59.3041131,17.9589797
Catarina,restaurant,Restaurang & Snabbmat,N/A,,59.2951096,17.9838697
Topoli,restaurant,Restaurang & Snabbmat,N/A,,59.2910859,17.9904856
Holy Kebab,restaurant,Restaurang & Snabbmat,N/A,,59.2990773,17.9955577
Texas Longhorn,restaurant,Restaurang & Snabbmat,N/A,,59.2990535,17.9950864
Brödernas,restaurant,Restaurang & Snabbmat,N/A,,59.2990343,17.9952838
Gigis Hörna,restaurant,Restaurang & Snabbmat,N/A,,59.2987978,17.9896584
Nataljas Medicinska Fotvård,doctor,Vårdcentral,N/A,,59.2995544,18.0046911
Skog,fitness_centre,Gym/Utomhusgym,N/A,,59.2992941,18.0038141
Mitt Gym,fitness_centre,Gym/Utomhusgym,N/A,,59.2987718,18.0020897
stc,fitness_centre,Gym/Utomhusgym,N/A,,59.2989891,18.0036417
Noli Deli,restaurant,Restaurang & Snabbmat,N/A,,59.3012561,18.0120163
Målarverkstadens Bistro,cafe,Kafé,N/A,,59.3054014,17.9937227
Thurson & Engquist,dentist,Tandläkare,N/A,,59.3060239,17.9982697
Bara Yoga,fitness_centre,Gym/Utomhusgym,N/A,,59.3067148,18.0003357
STC,fitness_centre,Gym/Utomhusgym,N/A,,59.2868632,18.0099703
Lokanta,restaurant,Restaurang & Snabbmat,N/A,,59.2899188,17.9989496
Restaurang & Snabbmat,restaurant,Restaurang & Snabbmat,N/A,,59.290128,17.9996432
Tandvård,dentist,Tandläkare,N/A,,59.2802409,18.0337115
Hägerstens trafikskola,driving_school,Trafikskola,N/A,,59.3058983,18.0076915
Kim Ban Ban,restaurant,Restaurang & Snabbmat,N/A,,59.3095202,18.021603
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,N/A,,59.3004082,18.0045074
Johan Skytteskolans utegym,fitness_centre,Gym/Utomhusgym,Västerängsvägen,21,59.277314,17.9829224
Dentalisterna,dentist,Tandläkare,N/A,,59.3118095,18.024004
Thelins konditori,cafe,Kafé,N/A,,59.3154302,18.0013803
Beirut Lounge,restaurant,Restaurang & Snabbmat,Fruängstorget,6,59.2857974,17.9640318
Café Nero,cafe,Kafé,N/A,,59.3097814,18.022905
Il Forno,restaurant,Restaurang & Snabbmat,N/A,,59.309555,18.0220841
Kebab-ish,restaurant,Restaurang & Snabbmat,N/A,,59.3097263,18.022769
Naked fish,restaurant,Restaurang & Snabbmat,N/A,,59.3055101,17.9931902
La Casa de Planka,restaurant,Restaurang & Snabbmat,Klockhusgränd,1A,59.2810236,18.0003712
Magic Masala,restaurant,Restaurang & Snabbmat,Nioörtsvägen,24,59.3015599,18.016121
Midsommarkransens trafikskola,driving_school,Trafikskola,Tegelbruksvägen,8,59.3025534,18.014335
Smash N Grab,fast_food,Restaurang & Snabbmat,N/A,,59.3059707,18.0303074
Kringelgården Kransen,cafe,Kafé,N/A,,59.2985575,18.0029163
Lisebergs vårdcentral,doctor,Vårdcentral,Annebodavägen,4-6,59.2848365,18.0303853
Lekplats,playground,Lekplats,N/A,,59.301087,17.9937606
Lugnet,playground,Lekplats,N/A,,59.2942412,17.9700555
Kristallparken,playground,Lekplats,N/A,,59.2871487,18.0034603
Lekplats,playground,Lekplats,N/A,,59.2828065,17.9659617
Lekplatsen Solhatten,playground,Lekplats,Elsa Borgsgata,,59.283478,17.9673044
Lekplats,playground,Lekplats,N/A,,59.284193,17.9681413
Lekplats,playground,Lekplats,N/A,,59.2837588,17.9601189
Lekplats,playground,Lekplats,N/A,,59.2845656,17.9610146
Pizzeria Lugano,restaurant,Restaurang & Snabbmat,Fredrika Bremers Gata,63,59.2835794,17.970829
Lekplats,playground,Lekplats,N/A,,59.2852541,17.9726617
Lekplats,playground,Lekplats,N/A,,59.2859825,17.9710023
Lekplats,playground,Lekplats,N/A,,59.2844173,17.9718698
Lekplats,playground,Lekplats,N/A,,59.2882191,17.9662852
Lekplats,playground,Lekplats,N/A,,59.2871324,17.9714389
Lekplats,playground,Lekplats,N/A,,59.2876557,17.9618021
Lekplats,playground,Lekplats,N/A,,59.2867196,17.9629663
Lekplats,playground,Lekplats,N/A,,59.2871711,17.9619961
Parkleken Vippan,playground,Lekplats,N/A,,59.2868424,17.9696987
Lekplats,playground,Lekplats,N/A,,59.2856931,17.9605601
Lekplats,playground,Lekplats,N/A,,59.2850186,17.9588585
Hamburgarprinsen,fast_food,Restaurang & Snabbmat,N/A,,59.2853476,17.9561503
Lekplats,playground,Lekplats,N/A,,59.2871093,17.9581462
Lekplats,playground,Lekplats,N/A,,59.2864981,17.9574888
Storhagen,playground,Lekplats,N/A,,59.2754336,17.9612046
Fruktparken,playground,Lekplats,N/A,,59.3110715,18.022184
Tre kungars lund,playground,Lekplats,N/A,,59.284972,18.0237632
Lidl,supermarket,Matbutik,Elisabeth Tamms Gata,2,59.285627,17.9544506
Coop Mälarhöjden,supermarket,Matbutik,Hägerstensvägen,331,59.3013291,17.9573872
Lekplats,playground,Lekplats,N/A,,59.2847863,18.0268878
Lekplats,playground,Lekplats,N/A,,59.2866784,17.975077
Långbro värdshus,restaurant,Restaurang & Snabbmat,Stora Mans väg,4,59.282823,17.9708426
Arkenparken,playground,Lekplats,N/A,,59.3062412,17.9769444
Lekplats,playground,Lekplats,N/A,,59.2981977,17.9431737
Johannisdalsparken,playground,Lekplats,N/A,,59.2964066,17.957966
Pandaparken,playground,Lekplats,N/A,,59.3076543,18.0177308
Schlytersparken,playground,Lekplats,N/A,,59.3067827,18.0073509
Parklek Sjörövarparken,playground,Lekplats,N/A,,59.2814003,18.008867
Apelsinen,playground,Lekplats,N/A,,59.2839465,18.0145002
Lekplats,playground,Lekplats,N/A,,59.3051419,18.0026426
Lekplats,playground,Lekplats,N/A,,59.2883133,18.014647
Gunnars Pizzeria,fast_food,Restaurang & Snabbmat,N/A,,59.2757484,17.9612266
Klämman,playground,Lekplats,N/A,,59.2864615,18.0287083
Park Folkets Hus,cinema,Biograf,Götalandsvägen,181,59.2831582,18.0272566
Eolshälls 4 H-gård,cafe,Kafé,Eolshällsvägen,10,59.3078856,17.9694819
Lekplats,playground,Lekplats,N/A,,59.3156447,17.9932308
Lekplats,playground,Lekplats,N/A,,59.3153829,18.0092357
Lekplats,playground,Lekplats,N/A,,59.30927,17.9876444
Lekplats,playground,Lekplats,N/A,,59.3049254,17.9733691
Lekplats,playground,Lekplats,N/A,,59.3047878,17.9700238
Lekplats,playground,Lekplats,N/A,,59.3048481,17.9711576
Lekplats,playground,Lekplats,N/A,,59.3048825,17.9722869
Lekplats,playground,Lekplats,N/A,,59.3165046,18.0116344
Lekplats,playground,Lekplats,N/A,,59.3161037,17.9924057
Lekplats,playground,Lekplats,N/A,,59.2879036,17.9934344
Lekplats,playground,Lekplats,N/A,,59.2863928,17.9960799
Lekplats,playground,Lekplats,N/A,,59.2947442,17.9896157
Lekplats,playground,Lekplats,N/A,,59.312684,18.0007917
Lekplats,playground,Lekplats,N/A,,59.3068798,17.9918246
Lekplats,playground,Lekplats,N/A,,59.3062938,17.9992611
Lekplats,playground,Lekplats,N/A,,59.3054169,17.9914834
Lekplats,playground,Lekplats,N/A,,59.3052971,17.9901362
Lekplats,playground,Lekplats,N/A,,59.3053371,17.990788
Lekplats,playground,Lekplats,N/A,,59.3057595,17.9890531
Lekplats,playground,Lekplats,N/A,,59.2910102,17.9896217
Lekplats,playground,Lekplats,N/A,,59.2857402,17.9818039
Lekplats,playground,Lekplats,N/A,,59.2859727,17.981471
Daisy's express,fast_food,Restaurang & Snabbmat,Elektravägen,32,59.2952544,18.0109716
Café Uddvillan,cafe,Kafé,Klubbensborgsvägen,27,59.3076706,17.9584891
Lekplats,playground,Lekplats,N/A,,59.2910129,17.9712767
Lekplats,playground,Lekplats,N/A,,59.3089453,18.0063838
Lekplats,playground,Lekplats,N/A,,59.3095221,17.9900789
Lekplats,playground,Lekplats,N/A,,59.3147349,17.9899842
Båtparken,playground,Lekplats,N/A,,59.2952972,17.9817846
Lekplats,playground,Lekplats,N/A,,59.290627,17.9862774
Lekplats,playground,Lekplats,N/A,,59.2941919,17.9833147
Lekplats,playground,Lekplats,N/A,,59.3141693,17.9905113
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,N/A,,59.2650237,17.9966321
Lekplats,playground,Lekplats,N/A,,59.3028637,17.9818054
Långbro bakficka,cafe,Kafé,N/A,,59.2818034,17.9715299
Lekplats,playground,Lekplats,N/A,,59.292797,17.9894293
Lekplats,playground,Lekplats,N/A,,59.3034228,17.9845761
Lekplats,playground,Lekplats,N/A,,59.2935954,17.9785477
Lekplats,playground,Lekplats,N/A,,59.3056737,17.9940364
Lekplats,playground,Lekplats,N/A,,59.276096,17.9845351
Lekplats,playground,Lekplats,N/A,,59.2758612,17.9704502
Lekplats,playground,Lekplats,N/A,,59.3025709,18.0028615
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,N/A,,59.2912146,17.9814735
Lekplats,playground,Lekplats,N/A,,59.2955151,18.0091991
Lekplats,playground,Lekplats,N/A,,59.2952243,18.0088472
Lekplats,playground,Lekplats,N/A,,59.2947361,18.0084906
Tågparken,playground,Lekplats,N/A,,59.3010938,18.0124815
Lekplats,playground,Lekplats,N/A,,59.3083414,17.9951682
Lekplats,playground,Lekplats,N/A,,59.3086413,17.9958374
Lekplats,playground,Lekplats,N/A,,59.3085675,17.9942743
Lekplats,playground,Lekplats,N/A,,59.3093412,17.9885182
Lekplats,playground,Lekplats,N/A,,59.3091886,17.9862516
Lekplats,playground,Lekplats,N/A,,59.3093829,17.9928607
Lekplats,playground,Lekplats,N/A,,59.3040874,17.9826483
Lekplats,playground,Lekplats,N/A,,59.3034249,17.9796788
Lekplats,playground,Lekplats,N/A,,59.2940854,17.9693965
Lekplats,playground,Lekplats,N/A,,59.2943289,17.9701766
Lekplats,playground,Lekplats,N/A,,59.2939612,17.9700842
Lekplats,playground,Lekplats,N/A,,59.2765852,18.0036235
Lekplats,playground,Lekplats,N/A,,59.3099007,18.0005078
Lekplats,playground,Lekplats,N/A,,59.3048544,18.0256745
Lekplats,playground,Lekplats,N/A,,59.304753,18.024029
Lekplats,playground,Lekplats,N/A,,59.3136884,18.0161082
Lekplats,playground,Lekplats,N/A,,59.3028169,18.0283699
Lekplats,playground,Lekplats,N/A,,59.2952499,17.9986178
Lekplats,playground,Lekplats,N/A,,59.2882923,17.9716815
Lekplats,playground,Lekplats,N/A,,59.2879084,17.9774308
Lekplats,playground,Lekplats,N/A,,59.2879344,17.9734759
Lekplats,playground,Lekplats,N/A,,59.297713,17.946049
Lekplats,playground,Lekplats,N/A,,59.2982176,17.9476918
Lekplats,playground,Lekplats,N/A,,59.3038312,18.0278501
Lekplats,playground,Lekplats,N/A,,59.3035153,18.0318319
Lekplats,playground,Lekplats,N/A,,59.3045217,18.0288372
Lekplats,playground,Lekplats,N/A,,59.3072373,18.0149026
Lekplats,playground,Lekplats,N/A,,59.3094402,18.0136908
Lekplats,playground,Lekplats,N/A,,59.305502,18.0373301
Lekplats,playground,Lekplats,N/A,,59.2920811,17.9634116
Lekplats,playground,Lekplats,N/A,,59.2915282,17.9647205
Lekplats,playground,Lekplats,N/A,,59.2923007,17.9646263
Lekplats,playground,Lekplats,N/A,,59.2921334,17.9667836
Lekplats,playground,Lekplats,N/A,,59.2936644,17.9661966
Lekplats,playground,Lekplats,N/A,,59.2935138,17.9633416
Lekplats,playground,Lekplats,N/A,,59.2927394,17.9624268
Lekplats,playground,Lekplats,N/A,,59.291388,17.9680901
Lekplats,playground,Lekplats,N/A,,59.2905198,17.9684915
Lekplats,playground,Lekplats,N/A,,59.2951395,17.9995557
Lekplats,playground,Lekplats,N/A,,59.3026556,18.0308653
Lekplats,playground,Lekplats,N/A,,59.3129195,18.0010809
Lekplats,playground,Lekplats,N/A,,59.3049968,18.0255274
Lekplats,playground,Lekplats,N/A,,59.302216,18.031414
Lekplats,playground,Lekplats,N/A,,59.3047207,18.0301015
Lekplats,playground,Lekplats,N/A,,59.3146938,18.0132614
Lekplats,playground,Lekplats,N/A,,59.3141886,18.0107816
Mastparken,playground,Lekplats,N/A,,59.3158526,17.9982854
Sannadalsparkens utegym,fitness_station,Gym/Utomhusgym,N/A,,59.3150089,18.0085257
Lekplats,playground,Lekplats,N/A,,59.3150309,17.9861643
Liljeholmens utegym,fitness_station,Gym/Utomhusgym,N/A,,59.3106174,18.0205876
Lekplats,playground,Lekplats,N/A,,59.3152632,17.9894619
Lekplats,playground,Lekplats,N/A,,59.3152142,17.9885647
Lekplats,playground,Lekplats,N/A,,59.2737193,17.9776202
Fågelparken,playground,Lekplats,N/A,,59.3080827,17.9841934
Lekplats,playground,Lekplats,N/A,,59.2986681,17.9437829
Lekplats,playground,Lekplats,N/A,,59.3027555,18.0315241
Lekplats,playground,Lekplats,N/A,,59.307854,18.029127
Blixtparken,playground,Lekplats,N/A,,59.309063,18.0179701
Lekplats,playground,Lekplats,N/A,,59.3016053,18.0058844
Lekplats,playground,Lekplats,N/A,,59.3006608,18.0050278
Lekplats,playground,Lekplats,N/A,,59.3015448,18.0054177
Midsommarköket,cafe,Kafé,N/A,,59.3008355,18.004508
Lekplats,playground,Lekplats,N/A,,59.2874314,18.0276342
Lekplats,playground,Lekplats,N/A,,59.2805162,18.0286972
Lekplats,playground,Lekplats,N/A,,59.2800356,18.0270507
Lekplats,playground,Lekplats,N/A,,59.3022227,18.0079737
Lekplats,playground,Lekplats,N/A,,59.305432,18.0365934
Lekplats,playground,Lekplats,N/A,,59.3056007,18.0368085
Utegym,fitness_station,Gym/Utomhusgym,N/A,,59.3117506,18.0025198
Lekplatsen Ada Nilsson,playground,Lekplats,N/A,,59.2844051,17.9560886
Lekplats,playground,Lekplats,N/A,,59.2836804,17.9566138
Lekplats,playground,Lekplats,N/A,,59.3110246,18.0225364
Lekplats,playground,Lekplats,N/A,,59.302719,18.002662
Lekplats,playground,Lekplats,N/A,,59.3028075,18.0027238
Lekplats,playground,Lekplats,N/A,,59.3028772,18.0028384
Lekplats,playground,Lekplats,N/A,,59.3069467,17.9792219
Lekplats,playground,Lekplats,N/A,,59.3117019,18.0269593
Lekplats,playground,Lekplats,N/A,,59.3115473,18.0263545
Lekplats,playground,Lekplats,N/A,,59.278695,17.9801065
Lekplats,playground,Lekplats,N/A,,59.2806896,17.9583986
Lekplats,playground,Lekplats,N/A,,59.2867138,18.0079936
Lekplats,playground,Lekplats,N/A,,59.3032761,18.0168782
Lekplats,playground,Lekplats,N/A,,59.2994264,18.001098
Lekplats,playground,Lekplats,N/A,,59.2914217,17.9808894
Lekplats,playground,Lekplats,N/A,,59.2824295,17.9751216
Lekplats,playground,Lekplats,N/A,,59.3076001,18.0259084
