Namn,Typ,Kategori,Gata,Nr,Lat,Lon
Restaurang & Snabbmat,fast_food,Restaurang & Snabbmat,N/A,,59.2921669,17.9681563
Korfu Orfa,restaurant,Restaurang & Snabbmat,N/A,,59.2976427,17.9826086
Wong Kee,restaurant,Restaurang & Snabbmat,N/A,,59.3069965,18.0290177
Gröna Dalen,restaurant,Restaurang & Snabbmat,N/A,,59.3160058,18.0111341
Thai Rung,restaurant,Restaurang & Snabbmat,N/A,,59.3104328,18.0223051
Di Metro,fast_food,Restaurang & Snabbmat,N/A,,59.3101026,18.0220192
McDonald's,fast_food,Restaurang & Snabbmat,N/A,,59.3104032,18.0229847
Coop Liljeholmen,supermarket,Matbutik,N/A,,59.3106203,18.0235883
Äldreboendet Trekanten,restaurant,Restaurang & Snabbmat,N/A,,59.3134648,18.0181386
Liljeholmens Grill,fast_food,Restaurang & Snabbmat,N/A,,59.3100673,18.0218658
KFC,fast_food,Restaurang & Snabbmat,N/A,,59.3097444,18.0221382
Bravo,cafe,Kafé,N/A,,59.3101203,18.0232131
Lidl,supermarket,Matbutik,N/A,,59.3100484,18.0233359
Bara Vedugnspizza,restaurant,Restaurang & Snabbmat,Örby Slottsväg,48,59.2797601,18.0342466
Bella Notte,restaurant,Restaurang & Snabbmat,N/A,,59.3023424,18.0141062
Sats,fitness_centre,Gym/Utomhusgym,N/A,,59.3091841,18.0284825
Koi Sushi,fast_food,Restaurang & Snabbmat,N/A,,59.3053498,17.9975035
Mama Ye's,restaurant,Restaurang & Snabbmat,N/A,,59.3075449,18.0301795
ICA Kvantum Liljeholmen,supermarket,Matbutik,N/A,,59.3094423,18.0222688
Willys,supermarket,Matbutik,N/A,,59.3093766,18.0211932
Brisket & friends,fast_food,Restaurang & Snabbmat,N/A,,59.2994274,18.0216412
Morningstar Cafe,restaurant,Restaurang & Snabbmat,N/A,,59.2967508,18.019543
Coop Midsommarkransen,supermarket,Matbutik,Svandammsvägen,20,59.301647,18.0124794
Svenska Sushiköket,restaurant,Restaurang & Snabbmat,Tellusborgsvägen,76,59.3003552,18.0040262
Pizzeria Fellini,fast_food,Restaurang & Snabbmat,N/A,,59.300644,18.0121602
Kransens Wok,fast_food,Restaurang & Snabbmat,N/A,,59.3031402,18.0127352
Tellus Pizza,fast_food,Restaurang & Snabbmat,N/A,,59.3020127,18.0082047
Nygammalt,restaurant,Restaurang & Snabbmat,N/A,,59.2998782,18.0046563
Pino,fast_food,Restaurang & Snabbmat,N/A,,59.301504,18.0160105
The Swan,restaurant,Restaurang & Snabbmat,N/A,,59.3006861,18.014473
Restaurang Udden,restaurant,Restaurang & Snabbmat,N/A,,59.3064868,18.006486
Älvsjö bibliotek,library,Bibliotek,N/A,,59.2781677,18.0078331
Lekplats,playground,Lekplats,N/A,,59.296161,17.9808213
Chicha 08,restaurant,Restaurang & Snabbmat,N/A,,59.3064952,18.0256387
Pepe Nero,restaurant,Restaurang & Snabbmat,N/A,,59.3060136,18.032393
Telefonplans bibliotek,library,Bibliotek,N/A,,59.2989246,17.9966603
OKQ8,fuel,Bensinmack,Elisabeth Tamms Gata,1,59.2849919,17.954975
Roots & Soil,restaurant,Restaurang & Snabbmat,N/A,,59.3097676,18.028177
Lekplats,playground,Lekplats,N/A,,59.3063786,17.9972313
Lekplats,playground,Lekplats,N/A,,59.307586,17.9948105
Lisebergs Café & Matsal,restaurant,Restaurang & Snabbmat,Annebodavägen,23-25,59.2871214,18.0266966
Lekplats,playground,Lekplats,N/A,,59.3094183,17.9942857
Lekplats,playground,Lekplats,N/A,,59.2717013,17.9846451
Lekplats,playground,Lekplats,N/A,,59.2721591,17.985962
Hinode Sushi,fast_food,Restaurang & Snabbmat,Götalandsvägen,253,59.2793638,18.004151
Bapuji,restaurant,Restaurang & Snabbmat,Älvsjövägen,2,59.2783471,18.0063075
Lekplats,playground,Lekplats,N/A,,59.2918792,17.9751361
Älvgården Kök & Bar,restaurant,Restaurang & Snabbmat,Älvsjövägen,7,59.2780961,18.0061133
Vår Pizza,restaurant,Restaurang & Snabbmat,Johan Skyttes Väg,218,59.277762,18.0018118
Cafe Gården,cafe,Kafé,Sedelvägen,20,59.2961996,17.9830405
Aspuddens apotek,pharmacy,Apotek,N/A,,59.3061293,18.000954
Bombay Taj,restaurant,Restaurang & Snabbmat,N/A,,59.3055028,18.0031363
Mums,fast_food,Restaurang & Snabbmat,N/A,,59.305703,18.001019
EPA,fast_food,Restaurang & Snabbmat,N/A,,59.3054736,18.0018403
Aspuddens bibliotek,library,Bibliotek,N/A,,59.3054669,18.0015478
Gröndals Apotek,pharmacy,Apotek,N/A,,59.316151,18.0123077
Lekplats,playground,Lekplats,N/A,,59.297741,18.000378
Lekplats,playground,Lekplats,N/A,,59.2978478,18.0005014
Café Hitom,cafe,Kafé,Klaviaturgatan,11,59.2979163,18.0001688
Café Momo,cafe,Kafé,N/A,,59.3098599,18.0217484
Delfin,restaurant,Restaurang & Snabbmat,N/A,,59.3151188,18.0149853
DIN-DIN Club,restaurant,Restaurang & Snabbmat,N/A,,59.3081563,18.0291693
German Beer Hall Liljeholmen,restaurant,Restaurang & Snabbmat,N/A,,59.3083331,18.0296139
Älvsjö Pizzeria,restaurant,Restaurang & Snabbmat,Älvsjövägen,90,59.2849116,17.9931883
Memozin Kolgrill,restaurant,Restaurang & Snabbmat,Älvsjövägen,90,59.2848081,17.9933848
Långbro Pizzeria,fast_food,Restaurang & Snabbmat,Svartlösavägen,79,59.2809246,17.9860678
SATS Älvsjö,fitness_centre,Gym/Utomhusgym,N/A,,59.2810159,18.0142423
Klockhusköket,restaurant,Restaurang & Snabbmat,Glasfibergatan,6,59.2808036,18.0013698
Stoff,cafe,Kafé,N/A,,59.273582,17.9954645
Megagrillen,fast_food,Restaurang & Snabbmat,Johan Skyttes Väg,188,59.278964,18.0084016
Hökmossens kaffestuga,restaurant,Restaurang & Snabbmat,Hökmossevägen,22,59.2919271,17.9951927
Cafe Elektra,cafe,Kafé,Elektravägen,33,59.2943422,18.0090461
IDS,fuel,Bensinmack,Upplagsvägen,,59.2990961,18.0220276
Bakstugan i Västertorp,cafe,Kafé,N/A,,59.294539,17.9668412
Shinto Restaurang,restaurant,Restaurang & Snabbmat,Solberga Hagväg,5,59.279555,18.0086807
Svenska Hamburgerköket,fast_food,Restaurang & Snabbmat,Tellusborgsvägen,78,59.3001133,18.0039844
Kronans Apotek,pharmacy,Apotek,Västbergavägen,4,59.2935847,18.0048911
Indian Garden,restaurant,Restaurang & Snabbmat,N/A,,59.3079045,18.0286974
Sushi Ureshii,restaurant,Restaurang & Snabbmat,Sedelvägen,28,59.296068,17.9823624
Staffans trafikskola,driving_school,Trafikskola,N/A,,59.2799024,18.0011743
Parma Kök & Bar,restaurant,Restaurang & Snabbmat,Fruängstorget,12,59.2857916,17.96335
Segeltorps trafikskola,driving_school,Trafikskola,N/A,,59.2836671,17.9573967
Chong Qing,restaurant,Restaurang & Snabbmat,N/A,,59.3128576,18.028359
Chamsin Grill,fast_food,Restaurang & Snabbmat,N/A,,59.3128175,18.0281034
Vivels,cafe,Kafé,Älvsjö Torg,6,59.2790794,18.0093028
JM Movement,physiotherapist,Fysioterapeut,N/A,,59.2807721,18.0328046
Älvsjö Öron-näsa-hals,doctor,Vårdcentral,Johan Skyttes Väg,198,59.278468,18.0069728
Butsaya,restaurant,Restaurang & Snabbmat,N/A,,59.2990374,18.0034908
Snabb & Lugn Café,cafe,Kafé,Älvsjö Stationsgata,11,59.2784904,18.0108359
Lius kök,restaurant,Restaurang & Snabbmat,Vantörsvägen,279,59.2862001,17.9531322
Fitness24Seven,fitness_centre,Gym/Utomhusgym,N/A,,59.2787812,18.0080853
Lekplats,playground,Lekplats,N/A,,59.3010494,17.9565868
Utegym,fitness_station,Gym/Utomhusgym,N/A,,59.2709035,17.9947649
Spiskroken,restaurant,Restaurang & Snabbmat,N/A,,59.2928504,18.0082976
Älvsjö Tandläkaren,dentist,Tandläkare,Johan Skyttes Väg,202,59.2780057,18.0059938
Mejram,restaurant,Restaurang & Snabbmat,N/A,,59.2981398,18.0105611
Asian Garden,restaurant,Restaurang & Snabbmat,N/A,,59.2980092,18.0104411
Istanbul Kolgrill,restaurant,Restaurang & Snabbmat,N/A,,59.2915406,18.012289
Västbergakällan,restaurant,Restaurang & Snabbmat,N/A,,59.2959258,18.0176833
Västberga Grillen,restaurant,Restaurang & Snabbmat,Vretensborgsvägen,20,59.299127,18.0160865
Nancys Freshfood,restaurant,Restaurang & Snabbmat,N/A,,59.2985196,18.0146522
ST1,fuel,Bensinmack,N/A,,59.2966942,17.973784
R Han Thai Take Away,fast_food,Restaurang & Snabbmat,N/A,,59.2918739,17.99975
WKB Västberga,restaurant,Restaurang & Snabbmat,Västberga Allé,36,59.293817,18.0111796
Erik's,restaurant,Restaurang & Snabbmat,N/A,,59.3045093,18.0304702
The meeting bar & restaurant,restaurant,Restaurang & Snabbmat,N/A,,59.3050438,17.9921902
Tokai sushi,restaurant,Restaurang & Snabbmat,Tellusgången,27,59.2987356,17.990757
Restaurang & Snabbmat,fast_food,Restaurang & Snabbmat,N/A,,59.2919715,17.9684317
La Favorita,restaurant,Restaurang & Snabbmat,Bäckvägen,,59.3016611,17.9883394
Il Forno di Fruängen,restaurant,Restaurang & Snabbmat,Vantörsvägen,282,59.286271,17.9508633
Lekplats,playground,Lekplats,N/A,,59.2936135,17.9785679
GAIA,restaurant,Restaurang & Snabbmat,N/A,,59.3024341,18.0086666
Lekplats,playground,Lekplats,N/A,,59.2910324,17.97352
Lekplats,playground,Lekplats,N/A,,59.2929672,17.9759926
Lekplats,playground,Lekplats,N/A,,59.2927575,17.974138
Pizza Örnsberg,fast_food,Restaurang & Snabbmat,N/A,,59.3059603,17.9915981
Hägerstens tandvårdsteam,dentist,Tandläkare,Sparbanksvägen,20-22,59.2975127,17.9826565
Verkets Matsal,restaurant,Restaurang & Snabbmat,N/A,,59.2895192,18.0159371
Rain,restaurant,Restaurang & Snabbmat,Tellusborgsvägen,84,59.2994428,18.0034208
Ica Nära Älvsjö,supermarket,Matbutik,Svartlösavägen,181,59.2726121,17.9779185
Lycka Thai & Sushi,fast_food,Restaurang & Snabbmat,N/A,,59.2729767,17.9777737
Thanita's Thai,fast_food,Restaurang & Snabbmat,Bäckvägen,141a,59.3012951,17.9865035
