Namn,Typ,Kategori,Gata,Nr,Lat,Lon
Blackebergs bibliotek,library,Bibliotek,N/A,,59.3477669,17.8843846
Apotek Hjärtat,pharmacy,Apotek,N/A,,59.3481204,17.8840425
Inari Sushi,restaurant,Restaurang & Snabbmat,N/A,,59.3478551,17.883272
Johannesfredsgrillen,fast_food,Restaurang & Snabbmat,N/A,,59.3437928,17.9700701
itrim,fitness_centre,Gym/Utomhusgym,N/A,,59.3392618,17.9402272
Brommarondellens Trafikskola,driving_school,Trafikskola,Brommaplan,407,59.3389785,17.9394763
Garros Bistro,restaurant,Restaurang & Snabbmat,Gustavslundsvägen,159,59.3322143,17.9816828
Pokeburger,restaurant,Restaurang & Snabbmat,Gustavslundsvägen,149E,59.3317992,17.9849072
Gustafs Matsal & Bar,restaurant,Restaurang & Snabbmat,Gustavslundsvägen,149A,59.331474,17.9846622
Fitness24Seven,fitness_centre,Gym/Utomhusgym,Bällstavägen,28,59.3607139,17.9557816
Bun Meat Bun,restaurant,Restaurang & Snabbmat,Bällstavägen,36,59.3607344,17.9549192
Lekplats,playground,Lekplats,N/A,,59.3557406,17.8991898
Lekplats,playground,Lekplats,N/A,,59.3545067,17.8968533
Takumi Sushi & Ramen,restaurant,Restaurang & Snabbmat,N/A,,59.3606282,17.9497799
Mariehälls Pizzeria,restaurant,Restaurang & Snabbmat,Bällstavägen,53,59.3606924,17.9494125
Miss Goa,restaurant,Restaurang & Snabbmat,Bällstavägen,61,59.3607868,17.9475027
Neko Wok,restaurant,Restaurang & Snabbmat,N/A,,59.3559663,17.9547679
Wienerkonditoriet,cafe,Kafé,N/A,,59.3553007,17.9565688
shish lebanse street food,restaurant,Restaurang & Snabbmat,N/A,,59.3560211,17.9549757
Spisa Husmanskost,restaurant,Restaurang & Snabbmat,N/A,,59.355981,17.9550336
Joe & The Juice,cafe,Kafé,N/A,,59.3549986,17.9567167
Nockeby trafikskola,driving_school,Trafikskola,Arkitektvägen,4,59.3342969,17.9512407
Blackebergsgrillen,fast_food,Restaurang & Snabbmat,Blackebergsplan,9,59.3477646,17.8837209
Jhonny's,restaurant,Restaurang & Snabbmat,Blackebergsplan,1,59.3473406,17.8833606
Lekplats,playground,Lekplats,N/A,,59.325213,17.9752862
Lekplats,playground,Lekplats,N/A,,59.3372928,17.9008154
Bastard Burgers,restaurant,Restaurang & Snabbmat,Gustavslundsvägen,26,59.3328103,17.9821701
Abrahamsbergs Café,cafe,Kafé,N/A,,59.3354159,17.9520473
Tandläkare Frida Sadeghi,dentist,Tandläkare,N/A,,59.334076,17.9492416
art sushi | sashimi,restaurant,Restaurang & Snabbmat,N/A,,59.3329284,17.9772143
Georgian House,restaurant,Restaurang & Snabbmat,N/A,,59.33733,17.9541981
Friskis & Svettis,fitness_centre,Gym/Utomhusgym,N/A,,59.3377042,17.9488966
Mack Ohlson,fuel,Bensinmack,N/A,,59.317936,17.9447798
Il Bicchiere,restaurant,Restaurang & Snabbmat,N/A,,59.3221809,17.9555082
Ålstenstandläkarna,dentist,Tandläkare,N/A,,59.3239447,17.9564772
Effekt,fitness_centre,Gym/Utomhusgym,N/A,,59.3307953,17.9473003
Maxi ICA Stormarknad Bromma,supermarket,Matbutik,Köpsvängen,4,59.3537504,17.9562145
Jarla Trafikskola,driving_school,Trafikskola,Travbanevägen,1,59.3626452,17.9404182
Dizin,restaurant,Restaurang & Snabbmat,Arvid Mörnes väg,4,59.3479568,17.8771682
Olivias krog,restaurant,Restaurang & Snabbmat,N/A,,59.346484,17.8818327
Kaskad,cinema,Biograf,Blackebergsplan,3,59.3475522,17.8829427
Sushi Yama,restaurant,Restaurang & Snabbmat,Köpsvängen,34b,59.3536028,17.9570771
Espresso House,cafe,Kafé,N/A,,59.355743,17.9555179
Tasty Sushi,restaurant,Restaurang & Snabbmat,Mariehällsvägen,31,59.3626003,17.9552586
SATS Bromma Blocks,fitness_centre,Gym/Utomhusgym,N/A,,59.3533955,17.9566347
Bistro Bromma,restaurant,Restaurang & Snabbmat,Spångavägen,138,59.3541217,17.91538
Kafé,cafe,Kafé,N/A,,59.3152289,17.9661388
Minnies Thai Kitchen (Fiskvagnen),fast_food,Restaurang & Snabbmat,Bryggerivägen,10,59.3492328,17.9662725
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,N/A,,59.3612682,17.9047892
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,N/A,,59.3350183,17.9875133
Mille Gusti,restaurant,Restaurang & Snabbmat,Bergslagsvägen,260C,59.3469112,17.8950251
Il Forno Italiano,fast_food,Restaurang & Snabbmat,N/A,,59.3552831,17.945607
Restaurang & Snabbmat,fast_food,Restaurang & Snabbmat,N/A,,59.355298,17.9458854
Restaurang & Snabbmat,fast_food,Restaurang & Snabbmat,N/A,,59.3553061,17.9453096
Wok & Sushi,fast_food,Restaurang & Snabbmat,N/A,,59.3553346,17.9450577
Brödernas,fast_food,Restaurang & Snabbmat,N/A,,59.3615294,17.949113
STC,fitness_centre,Gym/Utomhusgym,N/A,,59.3610575,17.9481887
PWR studio,fitness_centre,Gym/Utomhusgym,N/A,,59.3647168,17.9508775
Annedals Tandklinik,dentist,Tandläkare,N/A,,59.3651243,17.9467368
Bromma fysioterapi,physiotherapist,Fysioterapeut,N/A,,59.3470447,17.883942
Stc,fitness_centre,Gym/Utomhusgym,N/A,,59.3470485,17.8848402
Salladsmagasinet Bromma,restaurant,Restaurang & Snabbmat,Follingbogatan,64,59.3582783,17.8994003
Lekplats,playground,Lekplats,N/A,,59.3227145,17.9284398
Lekplats,playground,Lekplats,N/A,,59.3201184,17.9432023
PanPan Sushi,restaurant,Restaurang & Snabbmat,N/A,,59.3295844,17.9290369
Pissamai Thai Food,restaurant,Restaurang & Snabbmat,N/A,,59.3492013,17.8802891
Nano Café,cafe,Kafé,N/A,,59.3479723,17.8832788
Raanthai Blackeberg,supermarket,Matbutik,N/A,,59.3480353,17.8841495
Bistro Tarboush,fast_food,Restaurang & Snabbmat,N/A,,59.3459118,17.8929701
Ängby Tandläkarna,dentist,Tandläkare,N/A,,59.3471271,17.8947734
