Region,Statistikområde,Upplatelseform,ContentsCode,Tid,value,stadsdelsomrade
0180R020_RegSO2025,Fagersjö,bostadsrätt,Antal,2024,300,N/A
0180R020_RegSO2025,Fagersjö,äganderätt,Antal,2024,190,N/A
0180R020_RegSO2025,Fagersjö,uppgift saknas,Antal,2024,0,N/A
0180R021_RegSO2025,Farsta,hyresrätt,Antal,2024,3947,N/A
0180R021_RegSO2025,Farsta,bostadsrätt,Antal,2024,3427,N/A
0180R021_RegSO2025,Farsta,äganderätt,Antal,2024,420,N/A
0180R021_RegSO2025,Farsta,uppgift saknas,Antal,2024,0,N/A
0180R022_RegSO2025,Flysta,hyresrätt,Antal,2024,170,N/A
0180R022_RegSO2025,Flysta,bostadsrätt,Antal,2024,6,N/A
0180R022_RegSO2025,Flysta,äganderätt,Antal,2024,656,N/A
0180R022_RegSO2025,Flysta,uppgift saknas,Antal,2024,0,N/A
0180R023_RegSO2025,Fredhäll,hyresrätt,Antal,2024,1659,N/A
0180R023_RegSO2025,Fredhäll,bostadsrätt,Antal,2024,2171,N/A
0180R023_RegSO2025,Fredhäll,äganderätt,Antal,2024,0,N/A
0180R023_RegSO2025,Fredhäll,uppgift saknas,Antal,2024,0,N/A
0180R024_RegSO2025,Fruängen,hyresrätt,Antal,2024,1830,Hägersten-Älvsjö
0180R024_RegSO2025,Fruängen,bostadsrätt,Antal,2024,3490,Hägersten-Älvsjö
0180R024_RegSO2025,Fruängen,äganderätt,Antal,2024,147,Hägersten-Älvsjö
0180R024_RegSO2025,Fruängen,uppgift saknas,Antal,2024,0,Hägersten-Älvsjö
0180R025_RegSO2025,Gamla Enskede,hyresrätt,Antal,2024,1858,N/A
0180R025_RegSO2025,Gamla Enskede,bostadsrätt,Antal,2024,2353,N/A
0180R025_RegSO2025,Gamla Enskede,äganderätt,Antal,2024,904,N/A
0180R025_RegSO2025,Gamla Enskede,uppgift saknas,Antal,2024,0,N/A
0180R026_RegSO2025,Grimsta,hyresrätt,Antal,2024,1643,N/A
0180R026_RegSO2025,Grimsta,bostadsrätt,Antal,2024,645,N/A
0180R026_RegSO2025,Grimsta,äganderätt,Antal,2024,0,N/A
0180R026_RegSO2025,Grimsta,uppgift saknas,Antal,2024,0,N/A
0180R027_RegSO2025,Gröndal,hyresrätt,Antal,2024,1434,Hägersten-Älvsjö
0180R027_RegSO2025,Gröndal,bostadsrätt,Antal,2024,3316,Hägersten-Älvsjö
0180R027_RegSO2025,Gröndal,äganderätt,Antal,2024,5,Hägersten-Älvsjö
0180R027_RegSO2025,Gröndal,uppgift saknas,Antal,2024,0,Hägersten-Älvsjö
0180R028_RegSO2025,Gubbängen,hyresrätt,Antal,2024,1624,N/A
0180R028_RegSO2025,Gubbängen,bostadsrätt,Antal,2024,1404,N/A
0180R028_RegSO2025,Gubbängen,äganderätt,Antal,2024,220,N/A
0180R028_RegSO2025,Gubbängen,uppgift saknas,Antal,2024,0,N/A
0180R029_RegSO2025,Gustav Vasa,hyresrätt,Antal,2024,3168,N/A
0180R029_RegSO2025,Gustav Vasa,bostadsrätt,Antal,2024,5700,N/A
0180R029_RegSO2025,Gustav Vasa,äganderätt,Antal,2024,10,N/A
0180R029_RegSO2025,Gustav Vasa,uppgift saknas,Antal,2024,0,N/A
0180R030_RegSO2025,Gärdet,hyresrätt,Antal,2024,6240,N/A
0180R030_RegSO2025,Gärdet,bostadsrätt,Antal,2024,9322,N/A
0180R030_RegSO2025,Gärdet,äganderätt,Antal,2024,10,N/A
0180R030_RegSO2025,Gärdet,uppgift saknas,Antal,2024,0,N/A
0180R031_RegSO2025,Hagsätra,hyresrätt,Antal,2024,2433,N/A
0180R031_RegSO2025,Hagsätra,bostadsrätt,Antal,2024,1800,N/A
0180R031_RegSO2025,Hagsätra,äganderätt,Antal,2024,118,N/A
0180R031_RegSO2025,Hagsätra,uppgift saknas,Antal,2024,0,N/A
0180R032_RegSO2025,Hammarbyhöjden,hyresrätt,Antal,2024,1904,N/A
0180R032_RegSO2025,Hammarbyhöjden,bostadsrätt,Antal,2024,4459,N/A
0180R032_RegSO2025,Hammarbyhöjden,äganderätt,Antal,2024,21,N/A
0180R032_RegSO2025,Hammarbyhöjden,uppgift saknas,Antal,2024,0,N/A
0180R033_RegSO2025,Hedvig Eleonora,hyresrätt,Antal,2024,2249,N/A
0180R033_RegSO2025,Hedvig Eleonora,bostadsrätt,Antal,2024,5080,N/A
0180R033_RegSO2025,Hedvig Eleonora,äganderätt,Antal,2024,3,N/A
0180R033_RegSO2025,Hedvig Eleonora,uppgift saknas,Antal,2024,0,N/A
0180R034_RegSO2025,Herrängen,hyresrätt,Antal,2024,22,N/A
0180R034_RegSO2025,Herrängen,bostadsrätt,Antal,2024,40,N/A
0180R034_RegSO2025,Herrängen,äganderätt,Antal,2024,1119,N/A
0180R034_RegSO2025,Herrängen,uppgift saknas,Antal,2024,0,N/A
0180R035_RegSO2025,Hjorthagen-Värtahamnen,hyresrätt,Antal,2024,2058,N/A
0180R035_RegSO2025,Hjorthagen-Värtahamnen,bostadsrätt,Antal,2024,2687,N/A
0180R035_RegSO2025,Hjorthagen-Värtahamnen,äganderätt,Antal,2024,2,N/A
0180R035_RegSO2025,Hjorthagen-Värtahamnen,uppgift saknas,Antal,2024,0,N/A
0180R036_RegSO2025,Husby,hyresrätt,Antal,2024,4086,N/A
0180R036_RegSO2025,Husby,bostadsrätt,Antal,2024,909,N/A
0180R036_RegSO2025,Husby,äganderätt,Antal,2024,0,N/A
0180R036_RegSO2025,Husby,uppgift saknas,Antal,2024,0,N/A
0180R037_RegSO2025,Hägersten,hyresrätt,Antal,2024,1730,Hägersten-Älvsjö
0180R037_RegSO2025,Hägersten,bostadsrätt,Antal,2024,1755,Hägersten-Älvsjö
0180R037_RegSO2025,Hägersten,äganderätt,Antal,2024,964,Hägersten-Älvsjö
0180R037_RegSO2025,Hägersten,uppgift saknas,Antal,2024,0,Hägersten-Älvsjö
0180R038_RegSO2025,Hägerstensåsen,hyresrätt,Antal,2024,2973,Hägersten-Älvsjö
0180R038_RegSO2025,Hägerstensåsen,bostadsrätt,Antal,2024,1949,Hägersten-Älvsjö
0180R038_RegSO2025,Hägerstensåsen,äganderätt,Antal,2024,37,Hägersten-Älvsjö
0180R038_RegSO2025,Hägerstensåsen,uppgift saknas,Antal,2024,0,Hägersten-Älvsjö
0180R039_RegSO2025,Hässelby Gård,hyresrätt,Antal,2024,4420,N/A
