gata,adress,stadsdel,parkeringsomrade,platstyp,taxa,ovrig_info,giltigt_fran,start_manad,slut_manad,start_dag,slut_dag,start_tid,slut_tid,veckodag,longitud,latitud,fordon,beslut,rdt_url
Klubbacken,Klubbacken 65 - 20,Hägersten,Hägersten,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid torsdag 08:00-16:00 1/11 - 15/5,2025-05-20T22:00:00Z,11,5,1,15,1600,800,torsdag,17.967298,59.306336,fordon,0180 2025-01920,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2025&LopNr=01920
Konsumentvägen,Konsumentvägen 13 - 14,Älvsjö,Älvsjö,P-avgift endast besök,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid måndag 00:00-06:00,2025-11-12T23:00:00Z,,,,,600,0,måndag,18.004622,59.270516,fordon,0180 2025-04200,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2025&LopNr=04200
Johan Skyttes Väg,Johan Skyttes Väg 221 - 218,Älvsjö,Älvsjö,P-avgift endast besök,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",,2025-11-14T23:00:00Z,5,10,16,31,900,1800,,18.002326,59.277611,fordon,0180 2025-04494,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2025&LopNr=04494
Johan Skyttes Väg,Johan Skyttes Väg 221 - 218,Älvsjö,Älvsjö,P-avgift endast besök,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",,2025-11-14T23:00:00Z,11,5,1,15,900,1800,,18.002326,59.277611,fordon,0180 2025-04494,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2025&LopNr=04494
Johan Skyttes Väg,Johan Skyttes Väg 221 - 218,Älvsjö,Älvsjö,P-avgift endast besök,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",,2025-11-14T23:00:00Z,5,10,16,31,900,1600,,18.002326,59.277611,fordon,0180 2025-04494,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2025&LopNr=04494
Johan Skyttes Väg,Johan Skyttes Väg 221 - 218,Älvsjö,Älvsjö,P-avgift endast besök,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",,2025-11-14T23:00:00Z,11,5,1,15,900,1600,,18.002326,59.277611,fordon,0180 2025-04494,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2025&LopNr=04494
Persmässgränd,Persmässgränd 13 - 10,Mälarhöjden,Hägersten,Avgiftsfri parkering,avgiftsfri,Servicetid onsdag 08:00-16:00 1/11 - 15/5,2026-02-10T23:00:00Z,5,10,16,31,700,1900,,17.956673,59.295188,fordon,0180 2026-00281,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2026&LopNr=00281
Persmässgränd,Persmässgränd 13 - 10,Mälarhöjden,Hägersten,Avgiftsfri parkering,avgiftsfri,Servicetid onsdag 08:00-16:00 1/11 - 15/5,2026-02-10T23:00:00Z,11,5,1,15,1600,800,onsdag,17.956673,59.295188,fordon,0180 2026-00281,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2026&LopNr=00281
Persmässgränd,Persmässgränd 10 - 1,Mälarhöjden,Hägersten,Avgiftsfri parkering,avgiftsfri,Servicetid onsdag 08:00-16:00 1/11 - 15/5,2026-02-10T23:00:00Z,5,10,16,31,,,,17.956713,59.294949,fordon,0180 2026-00280,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2026&LopNr=00280
Persmässgränd,Persmässgränd 10 - 1,Mälarhöjden,Hägersten,Avgiftsfri parkering,avgiftsfri,Servicetid onsdag 08:00-16:00 1/11 - 15/5,2026-02-10T23:00:00Z,11,5,1,15,1600,800,onsdag,17.956713,59.294949,fordon,0180 2026-00280,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2026&LopNr=00280
