gata,adress,stadsdel,parkeringsomrade,platstyp,taxa,ovrig_info,giltigt_fran,start_manad,slut_manad,start_dag,slut_dag,start_tid,slut_tid,veckodag,longitud,latitud,fordon,beslut,rdt_url
Boktryckarvägen,Boktryckarvägen 31,Hägerstensåsen,Hägersten,Tidsreglerad lastplats,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid onsdag 08:00-16:00 1/11 - 15/5,2024-02-24T23:00:00Z,11,5,1,15,700,1600,måndag,17.986121,59.300693,fordon,0180 2024-00367,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2024&LopNr=00367
Boktryckarvägen,Boktryckarvägen 31,Hägerstensåsen,Hägersten,Tidsreglerad lastplats,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid onsdag 08:00-16:00 1/11 - 15/5,2024-02-24T23:00:00Z,5,10,16,31,700,1600,måndag,17.98593,59.300646,fordon,0180 2024-00367,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2024&LopNr=00367
Boktryckarvägen,Boktryckarvägen 31,Hägerstensåsen,Hägersten,Tidsreglerad lastplats,"taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid onsdag 08:00-16:00 1/11 - 15/5,2024-02-24T23:00:00Z,11,5,1,15,700,1600,måndag,17.98593,59.300646,fordon,0180 2024-00367,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2024&LopNr=00367
Varuvägen,Varuvägen 14 - 16,Älvsjö,Älvsjö,Tidsreglerad lastplats,avgiftsfri,Servicetid måndag 00:00-06:00,2026-02-27T23:00:00Z,,,,,700,1900,,18.00451,59.272636,fordon,0180 2026-00770,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2026&LopNr=00770
Bårdgränd,Bårdgränd 6A - 12C,Åkeshov,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid torsdag 08:00-16:00 1/11 - 15/5,2018-02-23T23:00:00Z,5,10,16,31,,,,17.931094,59.339007,fordon,0180 2017-01421,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=01421
Bårdgränd,Bårdgränd 6A - 12C,Åkeshov,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid torsdag 08:00-16:00 1/11 - 15/5,2018-02-23T23:00:00Z,11,5,1,15,1600,800,torsdag,17.931094,59.339007,fordon,0180 2017-01421,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=01421
Stopvägen,Stopvägen 17 - 37,Åkeslund,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid måndag 08:00-16:00 1/11 - 15/5,2018-02-22T23:00:00Z,5,10,16,31,,,,17.947282,59.333946,fordon,0180 2017-01542,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=01542
Stopvägen,Stopvägen 17 - 37,Åkeslund,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid måndag 08:00-16:00 1/11 - 15/5,2018-02-22T23:00:00Z,11,5,1,15,1600,800,måndag,17.947282,59.333946,fordon,0180 2017-01542,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=01542
Stopvägen,Stopvägen 41 - 65,Åkeslund,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid måndag 08:00-16:00 1/11 - 15/5,2018-02-22T23:00:00Z,5,10,16,31,,,,17.945721,59.335716,fordon,0180 2017-01542,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=01542
Stopvägen,Stopvägen 41 - 65,Åkeslund,Bromma norra,"P Avgift, boende","taxa 5: 5 kr/tim vardagar 7-19, Boende: 300 kr/månad eller 20 kr/dygn",Servicetid måndag 08:00-16:00 1/11 - 15/5,2018-02-22T23:00:00Z,11,5,1,15,1600,800,måndag,17.945721,59.335716,fordon,0180 2017-01542,https://rdt.transportstyrelsen.se/rdt/AF06_View.aspx?BeslutsMyndighetKod=0180&BeslutadAr=2017&LopNr=01542
