id,kategori,namn,gatuadress,postnummer,stad,koordinat_east,koordinat_north,Stadsdel
14911,grundskolor,"Vittra Telefonplan, F–9",Snickerigatan 3–4,12626,Hägersten,17.9910968,59.2994897,Midsommarkransen
14906,grundskolor,"Västbergaskolan, F–9",Klensmedsvägen 2,12638,Hägersten,17.9950632,59.2958759,Västberga
14800,grundskolor,"Västertorpsskolan, F–6",Störtloppsvägen 2–6,12946,Hägersten,17.9678296,59.2927971,Västertorp
14812,grundskolor,"Ålstensskolan, F–6",Nyängsvägen 72–80,16764,Bromma,17.955415,59.3256376,Ålsten
14859,grundskolor,"Äppelviksskolan, 7–9",Alviksvägen 97,16753,Bromma,17.9746664,59.3239043,Äppelviken
14872,grundskolor,"Örbyskolan, F–9",Gamla Huddingevägen 425,12542,Älvsjö,18.0265722,59.2748688,Älvsjö
14884,grundskolor,"Östbergaskolan, F–6",Östbergabackarna 51–57,12573,Älvsjö,18.0383425,59.2885634,Östberga
15594,anpassade_grundskolor,"Aspuddens skola, anpassad grundskola 1–9",Blommensbergsvägen 166,12655,Hägersten,17.9980291,59.3093396,Aspudden
34957,anpassade_grundskolor,"Beckombergaskolan, anpassad grundskola F–6",Styresman Sanders väg 14,16860,Bromma,17.9041467,59.3596442,Eneby
15414,anpassade_grundskolor,"Fruängens skola, anpassad grundskola 1–9",Fruängsgatan 57–61,12953,Hägersten,17.9661492,59.2849719,Fruängen
15438,anpassade_grundskolor,"Innovitaskolan Joriel grundskola och anpassad grundskola, F–9",Bergtallsvägen 12,12560,Älvsjö,17.9695367,59.2817936,Älvsjö
15461,anpassade_grundskolor,"Lunaskolan Bromma, anpassad grundskola 4–9",Johannesfredsvägen 43,16868,Bromma,17.9731332,59.3469559,Ulvsunda industriområde
27661,anpassade_grundskolor,"Midsommarkransens skola, anpassad grundskola 1–7",Bäckvägen 1,12647,Hägersten,17.9948889,59.3023898,Midsommarkransen
15491,anpassade_grundskolor,"Nya Elementar, anpassad grundskola 1–9",Bergslagsvägen 80,16855,Bromma,17.9010568,59.3445421,Södra Ängby
15497,anpassade_grundskolor,"Olovslundsskolan, anpassad grundskola 1–6",Olovslundsvägen 23,16772,Bromma,17.9384342,59.3311661,Olovslund
15529,anpassade_grundskolor,"Solbergaskolan, anpassad grundskola, Broskolan, 1–6",Lerkrogsvägen 28,12679,Hägersten,18.0060931,59.2902259,Västberga
15536,anpassade_grundskolor,"Solbergaskolan, anpassad grundskola, Mockasinen, 1–9",Lerkrogsvägen 28,12679,Hägersten,18.0060931,59.2902259,Västberga
15567,anpassade_grundskolor,"Västbergaskolan, anpassad grundskola, 1–9",Klensmedsvägen 2,12638,Hägersten,17.9950632,59.2958759,Västberga
34879,anpassade_grundskolor,"Västertorpsskolan, anpassad grundskola 1–6",Störtloppsvägen 2,12946,Hägersten,17.9698323,59.2911596,Västertorp
12293,öppen_förskola,Öppna förskolan Fruängen,Hanna Rydhs gata 5,12950,Hägersten,17.9738024,59.2859588,Fruängen
12421,öppen_förskola,Öppna förskolan Hägerstensåsen,Inteckningsvägen 17 E,12931,Hägersten,17.9834525,59.2924289,Hägerstensåsen
12303,öppen_förskola,Öppna förskolan i Blackeberg,Grundtvigsgatan 29 (21) (mittemot Blackebergsparken),16848,Bromma,143549.0,6581110.0,N/A
30112,öppen_förskola,Öppna förskolan Pippi för barn med funktionsnedsättning,Hanna Rydhs gata 5,12950,Hägersten,17.9738024,59.2859588,Fruängen
28344,öppen_förskola,Öppna förskolan Tunnlandsvägen,Tunnlandsvägen 30 B,16836,Bromma,17.9404689,59.3363663,Bromma
12169,öppen_förskola,Öppna förskolan Älvsjö,Solberga ängsväg 4,12544,Älvsjö,18.0136606,59.2812742,Älvsjö
12192,öppen_förskola,"Öppna förskolan Östberga, Östberga kulturhus",Östbergatorget 14,12573,Älvsjö,18.0332425,59.2889218,Östberga
10704,förskola,Andante förskolor Utflyktsvägen,Utflyktsvägen 4,16841,Bromma,17.9115719,59.3302726,Nockebyhov
7680,förskola,Annedals Montessoriförskola,Pippi Långstrumps gata 35,16870,Bromma,17.9469495,59.3655816,Mariehäll
9011,förskola,Bellmanskällans Montessoriförskola,Brådstupsvägen 5–9,12939,Hägersten,17.9585439,59.3044665,Hägersten
9533,förskola,Birkamyntet – Ängbybarnens förskolor,Vultejusvägen 59,16855,Bromma,17.9090027,59.3440481,Norra Ängby
10184,förskola,Björntjänst,Bäckbornas väg 17,16860,Bromma,17.9011908,59.3626829,Eneby
7649,förskola,Blackebergs Montessoriförskola,Holbergsgatan 109,16845,Bromma,17.8848678,59.3446405,Blackeberg
9536,förskola,Blomstermåla – Ängbybarnens förskolor,Frislandsvägen 1–3,16855,Bromma,17.8984523,59.3470737,Södra Ängby
7587,förskola,Blå Grodan,Missionsvägen 14,16733,Bromma,17.9764308,59.3408876,Ulvsunda
