Statistik från Skolverket, https://www.skolverket.se

Grundskola - Antal elever per årskurs
Valt läsår: 2025/26

Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Elever, årskurs 1-9;Andel (%) flickor, årskurs 1-9;Andel (%) elever med utländsk bakgrund, åk 1-9;Andel (%) elever med föräldrar med eftergymnasial utb., åk 1-9;Elever, årskurs 1;Elever, årskurs 2;Elever, årskurs 3;Elever, årskurs 4;Elever, årskurs 5;Elever, årskurs 6;Elever, årskurs 7;Elever, årskurs 8;Elever, årskurs 9;Socioekonomisk områdestyp;
Manhemsskolan;10617819;Kalix;2514;Kommunal;Kalix kommun;2120002692;403;47,9;15,4;57,6;.;.;.;.;.;.;126;124;153;Socioekonomiskt blandade områden;
Näsbyskolan;41544515;Kalix;2514;Kommunal;Kalix kommun;2120002692;137;41,6;25,5;47,4;22;21;26;20;23;25;.;.;.;Socioekonomiskt blandade områden;
Sangis skola;43043051;Kalix;2514;Kommunal;Kalix kommun;2120002692;45;57,8;15,6;60,0;4;12;7;12;5;5;.;.;.;Områden med goda socioekonomiska förutsättningar;
Töre skola;77268380;Kalix;2514;Kommunal;Kalix kommun;2120002692;101;53,5;12,9;50,5;13;24;17;19;16;12;.;.;.;Socioekonomiskt blandade områden;
Ytterbyns skola;94022488;Kalix;2514;Kommunal;Kalix kommun;2120002692;72;36,1;..;54,2;15;12;10;17;8;10;.;.;.;Områden med goda socioekonomiska förutsättningar;
Västra Skolan Kalmar;94235119;Kalmar;0880;Enskild;CIS Kalmar AB;5565896213;158;57,0;17,7;76,6;.;.;.;.;.;.;56;46;56;Områden med goda socioekonomiska förutsättningar;
Montessoriskolan Regnbågen;16372076;Kalmar;0880;Enskild;Folkuniversitetets Skolor AB;5561645226;97;59,8;15,5;92,8;18;20;15;17;17;10;.;.;.;Socioekonomiskt blandade områden;
Djurängsskolan;15356393;Kalmar;0880;Kommunal;Kalmar kommun;2120000746;196;47,4;43,9;65,3;29;26;39;38;44;20;.;.;.;Socioekonomiskt blandade områden;
Falkenbergsskolan;99856371;Kalmar;0880;Kommunal;Kalmar kommun;2120000746;622;46,5;17,7;77,0;49;33;39;44;46;46;133;111;121;Områden med goda socioekonomiska förutsättningar;
Funkaboskolan;21736926;Kalmar;0880;Kommunal;Kalmar kommun;2120000746;808;47,3;34,0;59,3;74;93;75;90;67;91;116;94;108;Socioekonomiskt blandade områden;
Hagbyskolan;27272633;Kalmar;0880;Kommunal;Kalmar kommun;2120000746;152;52,6;5,9;73,0;31;23;25;24;27;22;.;.;.;Områden med goda socioekonomiska förutsättningar;
Halltorpsskolan;39111157;Kalmar;0880;Kommunal;Kalmar kommun;2120000746;59;49,2;..;57,6;7;10;10;8;16;8;.;.;.;Områden med goda socioekonomiska förutsättningar;
Kalmarsundsskolan;24092221;Kalmar;0880;Kommunal;Kalmar kommun;2120000746;530;49,8;46,6;59,6;105;89;85;77;93;81;.;.;.;Områden med stora socioekonomiska utmaningar;
Lindsdalsskolorna;51848797;Kalmar;0880;Kommunal;Kalmar kommun;2120000746;1 021;48,5;13,6;73,5;97;89;106;116;110;100;153;119;131;Områden med goda socioekonomiska förutsättningar;
Lindöskolan;63673299;Kalmar;0880;Kommunal;Kalmar kommun;2120000746;281;50,5;15,3;79,0;47;49;52;42;43;48;.;.;.;Områden med goda socioekonomiska förutsättningar;
Ljungbyholmsskolan;83034316;Kalmar;0880;Kommunal;Kalmar kommun;2120000746;241;46,1;5,4;72,2;44;45;40;40;42;30;.;.;.;Områden med goda socioekonomiska förutsättningar;
Oxhagsskolan;14322175;Kalmar;0880;Kommunal;Kalmar kommun;2120000746;53;49,1;75,5;34,0;12;9;9;8;5;10;.;.;.;Socioekonomiskt blandade områden;
Pårydsskolan;43442452;Kalmar;0880;Kommunal;Kalmar kommun;2120000746;65;47,7;9,2;55,4;3;7;9;18;16;12;.;.;.;Socioekonomiskt blandade områden;
Rinkabyholmsskolan;55238162;Kalmar;0880;Kommunal;Kalmar kommun;2120000746;384;50,0;1,8;89,6;59;61;64;56;79;65;.;.;.;Områden med mycket goda socioekonomiska förutsättningar;
Rocknebyskolan;74676128;Kalmar;0880;Kommunal;Kalmar kommun;2120000746;233;45,5;5,2;73,4;37;42;41;37;35;41;.;.;.;Områden med goda socioekonomiska förutsättningar;
Smedbyskolan;27675952;Kalmar;0880;Kommunal;Kalmar kommun;2120000746;534;47,2;29,0;54,3;42;44;61;64;54;55;71;76;67;Områden med socioekonomiska utmaningar;
Södermöreskolan;79012102;Kalmar;0880;Kommunal;Kalmar kommun;2120000746;245;55,5;8,2;67,3;.;.;.;.;.;.;89;71;85;Områden med goda socioekonomiska förutsättningar;
Tallhagsskolan;74570653;Kalmar;0880;Kommunal;Kalmar kommun;2120000746;535;52,9;35,3;66,0;.;.;.;1;1;1;175;196;161;Områden med goda socioekonomiska förutsättningar;
Trekantenskolan;61033733;Kalmar;0880;Kommunal;Kalmar kommun;2120000746;189;51,9;4,2;56,6;40;33;33;25;31;27;.;.;.;Områden med goda socioekonomiska förutsättningar;
Tvärskogsskolan;76371416;Kalmar;0880;Kommunal;Kalmar kommun;2120000746;29;55,2;..;55,2;7;10;12;.;.;.;.;.;.;Områden med goda socioekonomiska förutsättningar;
Vasaskolan;18784702;Kalmar;0880;Kommunal;Kalmar kommun;2120000746;307;47,2;16,9;72,6;29;59;48;64;49;58;.;.;.;Områden med goda socioekonomiska förutsättningar;
Åbyskolan;58247022;Kalmar;0880;Kommunal;Kalmar kommun;2120000746;207;56,0;5,8;62,8;24;38;38;28;42;37;.;.;.;Områden med goda socioekonomiska förutsättningar;
Nordic International School Kalmar;51786225;Kalmar;0880;Enskild;Nordic International School AB;5566102033;147;68,7;44,2;74,1;.;.;.;9;20;29;30;25;34;Områden med goda socioekonomiska förutsättningar;
Kalmar Centrumskola;87544967;Kalmar;0880;Enskild;Nytida Solängen AB;5566684345;45;40,0;13,3;73,3;.;.;.;.;6;5;11;9;14;Områden med goda socioekonomiska förutsättningar;
Kalmar Waldorfskola;16517618;Kalmar;0880;Enskild;Stiftelsen Kalmar Waldorfskola;8324012288;58;51,7;41,4;75,9;4;4;7;6;4;7;10;9;7;Områden med goda socioekonomiska förutsättningar;
Södra skolan;13936858;Kalmar;0880;Enskild;Södra skolan i Kalmar AB;5566966031;368;46,5;16,8;79,3;14;16;26;26;26;26;75;59;100;Områden med goda socioekonomiska förutsättningar;
Forsviks friskola;54962744;Karlsborg;1446;Enskild;Forsviks Friskola;8655010661;71;54,9;16,9;63,4;13;11;12;10;15;10;.;.;.;Områden med goda socioekonomiska förutsättningar;
Carl Johanskolan;34231336;Karlsborg;1446;Kommunal;Karlsborgs kommun;2120001629;200;49,0;15,5;60,5;.;.;.;.;.;.;64;69;67;Områden med goda socioekonomiska förutsättningar;
Mölltorpskolan;72757148;Karlsborg;1446;Kommunal;Karlsborgs kommun;2120001629;96;60,4;10,4;66,7;11;20;14;16;17;18;.;.;.;Områden med goda socioekonomiska förutsättningar;
Strandskolan;22891571;Karlsborg;1446;Kommunal;Karlsborgs kommun;2120001629;237;40,5;16,0;57,4;36;37;34;37;47;46;.;.;.;Områden med goda socioekonomiska förutsättningar;
Waldorfskolan i Karlshamn;22909101;Karlshamn;1082;Enskild;Daggkåpan Ekonomisk Förening;7164056082;111;55,0;17,1;70,3;10;8;8;7;17;14;19;15;13;Områden med socioekonomiska utmaningar;
Bodestorpsskolan;83020943;Karlshamn;1082;Kommunal;Karlshamns kommun;2120000845;306;50,0;26,8;72,9;55;48;42;50;58;53;.;.;.;Områden med goda socioekonomiska förutsättningar;
Hällaryds skola;75372005;Karlshamn;1082;Kommunal;Karlshamns kommun;2120000845;91;53,8;5,5;64,8;16;15;19;15;16;10;.;.;.;Områden med goda socioekonomiska förutsättningar;
Klockebacksskolan;64496478;Karlshamn;1082;Kommunal;Karlshamns kommun;2120000845;262;46,9;26,3;62,6;42;41;42;46;43;48;.;.;.;Uppgift saknas;
Korpadalsskolan;21244566;Karlshamn;1082;Kommunal;Karlshamns kommun;2120000845;326;47,5;9,8;67,5;43;53;64;52;54;60;.;.;.;Socioekonomiskt blandade områden;
Möllegårdens skola;47955009;Karlshamn;1082;Kommunal;Karlshamns kommun;2120000845;184;51,1;27,7;45,1;34;31;26;29;35;29;.;.;.;Områden med socioekonomiska utmaningar;
Mörrums skola;37589444;Karlshamn;1082;Kommunal;Karlshamns kommun;2120000845;370;56,5;20,0;52,2;54;65;67;64;60;60;.;.;.;Socioekonomiskt blandade områden;
Norrevångskolan;89878714;Karlshamn;1082;Kommunal;Karlshamns kommun;2120000845;259;46,7;22,4;55,2;.;.;.;.;.;.;87;78;94;Uppgift saknas;
Prästslättsskolan;11703307;Karlshamn;1082;Kommunal;Karlshamns kommun;2120000845;256;41,8;33,6;67,6;42;43;37;43;32;59;.;.;.;Områden med goda socioekonomiska förutsättningar;
Stenbackaskolan;16767324;Karlshamn;1082;Kommunal;Karlshamns kommun;2120000845;268;53,0;17,9;68,3;.;.;.;.;.;.;86;96;86;Socioekonomiskt blandade områden;
Sternöskolan;83380643;Karlshamn;1082;Kommunal;Karlshamns kommun;2120000845;114;50,0;52,6;52,6;19;21;17;21;13;23;.;.;.;Socioekonomiskt blandade områden;
Österslättsskolan;43859477;Karlshamn;1082;Kommunal;Karlshamns kommun;2120000845;345;47,5;35,7;62,0;.;.;.;.;.;.;110;133;102;Socioekonomiskt blandade områden;
Karlshamns Montessoriskola;23032196;Karlshamn;1082;Enskild;Karlshamns Montessori-Skola- Ekonomisk Förening;7696004071;83;44,6;28,9;80,7;16;9;18;9;17;14;.;.;.;Områden med mycket goda socioekonomiska förutsättningar;
Tegnérskolan;16249641;Karlshamn;1082;Enskild;Skolalliansen i Sverige AB;5567497051;202;50,5;17,3;71,3;.;.;.;.;.;.;55;73;74;Områden med mycket goda socioekonomiska förutsättningar;
Åryds Friskola;45295878;Karlshamn;1082;Enskild;Åryds Friskola;8024419700;25;32,0;..;64,0;.;5;1;10;5;4;.;.;.;Områden med goda socioekonomiska förutsättningar;
Granbergsdals ekonomiska förening;85486578;Karlskoga;1883;Enskild;Granbergsdals skola, Ekonomisk förening;7164532033;69;37,7;..;71,0;16;9;7;18;9;10;.;.;.;Områden med goda socioekonomiska förutsättningar;
Aggerudsskolan;37648907;Karlskoga;1883;Kommunal;Karlskoga kommun;2120001991;361;51,0;18,8;62,9;59;66;46;59;61;70;.;.;.;Socioekonomiskt blandade områden;
Bregårdsskolan 4-6;22049477;Karlskoga;1883;Kommunal;Karlskoga kommun;2120001991;160;53,1;24,4;58,8;.;.;.;55;49;56;.;.;.;Socioekonomiskt blandade områden;
Bregårdsskolan 7-9;71762216;Karlskoga;1883;Kommunal;Karlskoga kommun;2120001991;373;48,3;27,6;46,4;.;.;.;.;.;.;109;133;131;Socioekonomiskt blandade områden;
Bråtenskolan;23655127;Karlskoga;1883;Kommunal;Karlskoga kommun;2120001991;232;45,7;9,1;59,9;33;39;45;47;36;32;.;.;.;Områden med goda socioekonomiska förutsättningar;
Häsängsskolan;76977393;Karlskoga;1883;Kommunal;Karlskoga kommun;2120001991;44;52,3;61,4;45,5;44;.;.;.;.;.;.;.;.;Socioekonomiskt blandade områden;
Karlbergsskolan;44008528;Karlskoga;1883;Kommunal;Karlskoga kommun;2120001991;319;46,4;27,6;51,4;52;41;59;64;36;67;.;.;.;Socioekonomiskt blandade områden;
Rävåsskolan;16112812;Karlskoga;1883;Kommunal;Karlskoga kommun;2120001991;158;53,2;29,1;60,8;51;52;55;.;.;.;.;.;.;Socioekonomiskt blandade områden;
Sandviksskolan;84776762;Karlskoga;1883;Kommunal;Karlskoga kommun;2120001991;265;44,5;19,2;57,7;48;41;43;39;50;44;.;.;.;Områden med goda socioekonomiska förutsättningar;
Skrantaskolan;65654358;Karlskoga;1883;Kommunal;Karlskoga kommun;2120001991;324;48,8;35,2;52,2;.;.;.;.;.;.;110;108;106;Socioekonomiskt blandade områden;
Stråningstorpsskolan;19425825;Karlskoga;1883;Kommunal;Karlskoga kommun;2120001991;266;51,5;62,0;37,2;.;56;50;51;57;52;.;.;.;Socioekonomiskt blandade områden;
Österledskolan;34767418;Karlskoga;1883;Kommunal;Karlskoga kommun;2120001991;282;46,1;14,5;55,0;.;.;.;.;.;.;94;92;96;Områden med goda socioekonomiska förutsättningar;
Innovitaskolan Karlskrona;10662754;Karlskrona;1080;Enskild;AcadeMedia fria grundskolor AB;5569320699;408;49,3;17,9;76,7;12;9;12;22;22;15;109;105;102;Områden med goda socioekonomiska förutsättningar;
Bastasjö Friskola AB;76776855;Karlskrona;1080;Enskild;Bastasjö Friskola AB;5568076375;133;46,6;12,8;86,5;27;19;21;22;26;18;.;.;.;Uppgift saknas;
Strömsbergs Friskola;58881130;Karlskrona;1080;Enskild;Friskolan i Strömsberg AB;5568823859;71;49,3;..;45,1;15;8;13;10;17;8;.;.;.;Uppgift saknas;
Piggelinen;99469094;Karlskrona;1080;Enskild;Friskolan PANEA AB;5567260954;183;55,2;33,3;54,6;17;12;14;15;24;24;28;21;28;Områden med goda socioekonomiska förutsättningar;
Friskolan Svettpärlan;93964634;Karlskrona;1080;Enskild;Friskolan Svettpärlan AB;5565570446;240;47,5;5,0;90,4;26;27;25;26;27;27;28;27;27;Områden med stora socioekonomiska utmaningar;
Aspöskolan F-6;20767970;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;11;45,5;..;~100;2;1;.;4;1;3;.;.;.;Uppgift saknas;
Fridlevstadskolan 4-6;17950126;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;73;50,7;..;64,4;.;.;.;15;31;27;.;.;.;Uppgift saknas;
Fågelmaraskolan F-6;52201227;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;90;57,8;..;61,1;18;19;23;9;18;3;.;.;.;Uppgift saknas;
Hasslöskolan F-6;57420772;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;101;46,5;..;81,2;20;15;21;15;19;11;.;.;.;Områden med goda socioekonomiska förutsättningar;
Holmsjöskolan F-6;55030330;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;91;44,0;12,1;49,5;14;12;16;19;20;10;.;.;.;Uppgift saknas;
Hästöskolan F-6;88401011;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;143;50,3;7,0;88,1;24;26;21;25;22;25;.;.;.;Områden med mycket goda socioekonomiska förutsättningar;
International School of Karlskrona;22763731;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;105;54,3;92,4;76,2;6;9;11;15;6;13;14;18;13;Områden med goda socioekonomiska förutsättningar;
Jämjö kunskapscentrum F-9;97495074;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;605;49,6;4,8;67,6;43;55;45;48;53;39;104;101;117;Områden med goda socioekonomiska förutsättningar;
Karlskrona Resursskola Aklejaskolan;29794705;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;31;38,7;..;67,7;.;.;.;.;.;.;8;12;11;Områden med stora socioekonomiska utmaningar;
Kättilsmålaskolan F-3;35751509;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;6;..;..;~100;3;1;2;.;.;.;.;.;.;Områden med goda socioekonomiska förutsättningar;
Lyckeby kunskapscentrum 7-9;55709634;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;309;48,2;20,7;72,2;.;.;.;.;.;.;90;108;111;Områden med goda socioekonomiska förutsättningar;
Nättraby kunskapscentrum F-9;76323160;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;745;48,9;4,2;83,0;83;72;102;82;75;98;79;81;73;Områden med mycket goda socioekonomiska förutsättningar;
Ramdalaskolan F-6;51415031;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;245;51,0;..;82,0;56;41;35;40;38;35;.;.;.;Områden med mycket goda socioekonomiska förutsättningar;
Rosenfeldtskolan F-6;12935859;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;140;38,6;37,9;61,4;19;31;26;21;25;18;.;.;.;Områden med goda socioekonomiska förutsättningar;
Rosenholmskolan Sport College 7-9;89523926;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;181;27,6;5,0;85,6;.;.;.;.;.;.;63;59;59;Områden med goda socioekonomiska förutsättningar;
Rödebyskolan 7-9;88404717;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;240;57,9;5,8;62,1;.;.;.;.;.;.;81;84;75;Områden med goda socioekonomiska förutsättningar;
Rödebyskolan F-6;64159453;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;285;48,8;6,3;63,2;43;49;49;53;50;41;.;.;.;Områden med goda socioekonomiska förutsättningar;
Saltöskolan F-6;37053461;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;126;46,0;22,2;75,4;15;23;21;21;24;22;.;.;.;Områden med goda socioekonomiska förutsättningar;
Spandelstorpskolan F-6;58982564;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;398;46,5;18,6;75,6;53;36;57;72;74;106;.;.;.;Områden med goda socioekonomiska förutsättningar;
Sturköskolan F-6;55592897;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;90;48,9;6,7;70,0;17;16;17;14;10;16;.;.;.;Områden med goda socioekonomiska förutsättningar;
Sunnadalskolan F-9;21608206;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;343;54,8;90,4;31,8;39;38;38;38;39;36;31;43;41;Områden med stora socioekonomiska utmaningar;
Torhamnskolan F-6;22552676;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;45;48,9;..;73,3;5;10;9;9;3;9;.;.;.;Områden med goda socioekonomiska förutsättningar;
Tullskolan F-6;14388216;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;92;53,3;73,9;53,3;15;15;14;12;21;15;.;.;.;Områden med goda socioekonomiska förutsättningar;
Tvingskola F-3;96392396;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;53;56,6;..;56,6;14;13;26;.;.;.;.;.;.;Områden med goda socioekonomiska förutsättningar;
Wämöskolan 7-9;63323984;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;174;51,1;41,4;65,5;.;.;.;.;.;.;57;39;78;Områden med goda socioekonomiska förutsättningar;
Östra Torpskolan F-6;28023411;Karlskrona;1080;Kommunal;Karlskrona kommun;2120000829;227;46,3;23,3;71,8;38;39;39;34;39;38;.;.;.;Socioekonomiskt blandade områden;
Karlskrona Montessorifriskola;67509465;Karlskrona;1080;Enskild;Karlskrona Montessorifriskola AB;5565030599;221;49,8;24,9;85,5;25;23;25;25;26;24;26;23;24;Områden med stora socioekonomiska utmaningar;
Musikugglan;93919365;Karlskrona;1080;Enskild;Tant Grön AB;5564127099;455;49,5;19,3;85,9;51;49;50;47;52;49;54;55;48;Områden med goda socioekonomiska förutsättningar;
Solstadens skola;85092070;Karlstad;1780;Enskild;Edukatus Alliance AB;5566139290;115;51,3;18,3;58,3;11;18;27;9;9;13;4;6;18;Områden med goda socioekonomiska förutsättningar;
Friskolan Stellatus;37922640;Karlstad;1780;Enskild;Friskolan Stellatus Ekonomisk förening;7696041107;97;45,4;9,3;90,7;19;19;18;17;13;11;.;.;.;Områden med goda socioekonomiska förutsättningar;
Internationella Engelska Skolan Karlstad;93730568;Karlstad;1780;Enskild;Internationella Engelska Skolan i Sverige AB;5564624368;547;49,9;49,5;71,5;.;.;.;31;58;88;118;124;128;Områden med socioekonomiska utmaningar;
Fredricelundsskolan;15838696;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;249;53,4;57,8;55,0;48;53;38;42;38;30;.;.;.;Områden med socioekonomiska utmaningar;
Frödingskolan;22049068;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;288;53,1;71,2;41,3;.;.;.;58;53;33;63;30;51;Områden med stora socioekonomiska utmaningar;
Färjestadsskolan;51062383;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;524;48,7;35,7;63,0;89;94;103;76;69;93;.;.;.;Områden med goda socioekonomiska förutsättningar;
Hagaborgsskolan;55511360;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;158;50,6;13,3;79,1;48;59;51;.;.;.;.;.;.;Områden med goda socioekonomiska förutsättningar;
Herrhagsskolan 4-6;25558716;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;165;48,5;18,2;69,1;.;.;.;68;41;56;.;.;.;Områden med goda socioekonomiska förutsättningar;
Herrhagsskolan F-3;25587225;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;178;45,5;23,6;77,5;51;63;64;.;.;.;.;.;.;Områden med goda socioekonomiska förutsättningar;
Hultsbergsskolan;23865672;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;586;50,3;17,2;77,1;48;49;64;47;49;45;98;92;94;Områden med mycket goda socioekonomiska förutsättningar;
Ilandaskolan;27418903;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;508;45,9;4,5;85,4;.;.;.;.;.;.;163;172;173;Områden med mycket goda socioekonomiska förutsättningar;
Kronoparksskolan;57384233;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;211;47,4;77,3;47,9;78;62;71;.;.;.;.;.;.;Områden med socioekonomiska utmaningar;
Kroppkärrskolan 4-6;15435434;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;197;45,2;10,2;87,3;.;.;.;65;71;61;.;.;.;Områden med mycket goda socioekonomiska förutsättningar;
Kroppkärrsskolan F-3;16972478;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;173;47,4;8,7;90,2;49;75;49;.;.;.;.;.;.;Områden med mycket goda socioekonomiska förutsättningar;
Kvarnbergsskolan;94659471;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;286;50,0;24,1;80,4;50;50;59;49;33;45;.;.;.;Områden med goda socioekonomiska förutsättningar;
Mariebergsskolan;81424988;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;456;50,9;19,3;73,9;.;.;.;.;.;.;140;158;158;Områden med goda socioekonomiska förutsättningar;
Norrstrandsskolan 4-6;54409456;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;204;57,8;13,2;79,9;.;.;.;62;77;65;.;.;.;Områden med goda socioekonomiska förutsättningar;
Norrstrandsskolan 7-9;20191380;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;523;48,9;10,3;77,8;.;.;.;.;.;.;178;174;171;Områden med goda socioekonomiska förutsättningar;
Nyeds skola;41081474;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;317;53,0;10,4;61,8;37;42;25;39;34;37;34;36;33;Socioekonomiskt blandade områden;
Orrholmsskolan;67510587;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;128;46,1;46,1;53,9;26;26;20;14;27;15;.;.;.;Socioekonomiskt blandade områden;
Resursskola Marieberg;12271356;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;10;..;..;~100;.;.;.;.;.;.;6;.;4;Områden med goda socioekonomiska förutsättningar;
Resursskola Orrholmen;55861395;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;18;..;27,8;61,1;.;.;.;2;6;10;.;.;.;Socioekonomiskt blandade områden;
Resursskola Rud;53731981;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;12;41,7;..;~100;.;.;.;.;.;.;4;5;3;Områden med goda socioekonomiska förutsättningar;
Resursskola Örsholmen;16487755;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;15;..;..;53,3;.;.;.;.;.;.;4;6;5;Områden med goda socioekonomiska förutsättningar;
Rudsskolan;23345056;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;541;46,8;19,8;77,1;.;.;.;.;.;.;186;179;176;Områden med goda socioekonomiska förutsättningar;
Råtorpsskolan;48111694;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;196;48,0;5,1;90,3;22;27;22;45;42;38;.;.;.;Områden med mycket goda socioekonomiska förutsättningar;
Skattkärrsskolan;80569479;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;424;50,0;3,5;81,1;78;85;67;65;77;52;.;.;.;Områden med goda socioekonomiska förutsättningar;
Skåreskolan;42264769;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;186;46,8;3,8;83,9;.;12;13;46;53;62;.;.;.;Områden med mycket goda socioekonomiska förutsättningar;
Stockfallets skola 4-6;86671559;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;145;44,1;6,9;90,3;.;.;.;53;51;41;.;.;.;Områden med mycket goda socioekonomiska förutsättningar;
Stockfallets skola F-3;58459294;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;194;55,2;12,4;88,1;61;70;63;.;.;.;.;.;.;Områden med mycket goda socioekonomiska förutsättningar;
Stodeneskolan;16944326;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;311;54,7;5,5;87,8;54;48;40;64;52;53;.;.;.;Områden med mycket goda socioekonomiska förutsättningar;
Södra Råtorps skola;62565038;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;66;50,0;12,1;90,9;20;23;23;.;.;.;.;.;.;Områden med mycket goda socioekonomiska förutsättningar;
Tuggeliteskolan;70178983;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;128;49,2;..;89,1;47;33;48;.;.;.;.;.;.;Områden med mycket goda socioekonomiska förutsättningar;
Vallargärdets skola;87919224;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;118;53,4;..;73,7;15;20;19;20;22;22;.;.;.;Uppgift saknas;
Vålbergsskolan 4-9;58574223;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;252;53,6;20,6;48,8;.;.;.;45;38;43;44;43;39;Socioekonomiskt blandade områden;
Vålbergsskolan F-3;59516426;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;140;49,3;21,4;45,7;49;38;53;.;.;.;.;.;.;Socioekonomiskt blandade områden;
Väse skola;60085423;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;146;46,6;7,5;65,8;27;26;24;30;26;13;.;.;.;Områden med goda socioekonomiska förutsättningar;
Västerstrandsskolan 4-6;20905208;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;221;52,0;23,5;79,2;.;.;.;67;87;67;.;.;.;Områden med mycket goda socioekonomiska förutsättningar;
Västerstrandsskolan F-3;20640247;Karlstad;1780;Kommunal;Karlstads kommun;2120001850;227;55,1;26,0;80,2;68;80;79;.;.;.;.;.;.;Områden med mycket goda socioekonomiska förutsättningar;
Nordic International School Karlstad;14290135;Karlstad;1780;Enskild;Nordic International School AB;5566102033;339;49,6;46,6;67,6;.;.;.;26;28;46;89;94;56;Områden med goda socioekonomiska förutsättningar;
Backa Friskola;71069295;Karlstad;1780;Enskild;Nyed Friskola Ekonomisk förening;7696278477;58;37,9;50,0;70,7;9;9;10;4;9;6;5;3;3;Socioekonomiskt blandade områden;
Bie skola;12384005;Katrineholm;0483;Kommunal;Katrineholms kommun;2120000340;87;44,8;..;62,1;12;14;16;18;15;12;.;.;.;Uppgift saknas;
Björkviks skola;33139103;Katrineholm;0483;Kommunal;Katrineholms kommun;2120000340;75;57,3;..;46,7;10;17;15;9;11;13;.;.;.;Områden med goda socioekonomiska förutsättningar;
Forssjö skola;37569310;Katrineholm;0483;Kommunal;Katrineholms kommun;2120000340;144;45,1;4,9;58,3;20;26;20;31;21;26;.;.;.;Områden med goda socioekonomiska förutsättningar;
Julita skola;33912115;Katrineholm;0483;Kommunal;Katrineholms kommun;2120000340;71;45,1;..;67,6;11;12;8;11;17;12;.;.;.;Områden med goda socioekonomiska förutsättningar;
Järvenskolan;89029385;Katrineholm;0483;Kommunal;Katrineholms kommun;2120000340;1 048;50,0;35,0;47,8;.;.;.;.;.;.;375;323;350;Socioekonomiskt blandade områden;
