namn,kategori,gata,lat,lon,stadsdel
La Rustica,Kafé,Långskeppsgatan,59.3513794,17.9000021,Beckomberga
Torghörnan,Kafé,Ängby torg,59.3468849,17.9085116,Norra Ängby
Kronans Apotek,Apotek,Ulvsundavägen,59.3565847,17.9519799,Mariehäll
Shiva,Restaurang & Snabbmat,Dalgången,59.3311297,17.9112186,Nockebyhov
Brommaplans Bibliotek,Bibliotek,Klädesvägen,59.3387884,17.9401533,Bromma
Sushi Bar Kirin,Restaurang & Snabbmat,Knypplerskevägen,59.3392166,17.9378171,Bromma
Bromma Thai,Restaurang & Snabbmat,Rånövägen,59.3333107,17.9244454,Nockeby
Sofie's,Restaurang & Snabbmat,Hemslöjdsvägen,59.3379176,17.953079,Ulvsunda
Brommaplans Grillen,Restaurang & Snabbmat,Kvarnbacksvägen,59.3423027,17.9501741,Bromma
Gateau,Kafé,Färjestadsvägen,59.3418988,17.905965,Norra Ängby
Ängby Sushi & Thai,Restaurang & Snabbmat,Färjestadsvägen,59.341486,17.9055784,Norra Ängby
Oh! Delhi,Restaurang & Snabbmat,Kvarnbacksvägen,59.3401238,17.9409471,Bromma
Bromma Pizzeria,Restaurang & Snabbmat,Klädesvägen,59.3387354,17.9407566,Bromma
Appetito,Restaurang & Snabbmat,Västerled,59.3288385,17.938666,Olovslund
Brasserie Maison,Restaurang & Snabbmat,Rörläggarvägen,59.3308229,17.9466098,Abrahamsberg
Coop Brommaplan,Matbutik,Klädesvägen,59.3385721,17.9394968,Bromma
Apoteket,Apotek,Klädesvägen,59.3388684,17.9396897,Bromma
Pizzeria La Bella,Restaurang & Snabbmat,Gustav III:s Väg,59.3339835,17.9477962,Abrahamsberg
Tropical Wok & Sushi,Restaurang & Snabbmat,Gustav III:s Väg,59.3340656,17.9480429,Abrahamsberg
Kanazawa Sushi Bar,Restaurang & Snabbmat,Ulvsundavägen,59.3350797,17.9690771,Ulvsunda
Drottningholms Pizzeria,Restaurang & Snabbmat,Rånövägen,59.3333467,17.924382,Nockeby
Pizzeria Tranan,Restaurang & Snabbmat,Tranebergsvägen,59.3355624,17.978447,Traneberg
Dignity,Restaurang & Snabbmat,Ulvsundavägen,59.3351501,17.9687169,Ulvsunda
Restaurang Figaro,Restaurang & Snabbmat,Per Ekströms Väg,59.3455873,17.8938441,Södra Ängby
Restaurang China House,Restaurang & Snabbmat,Bergslagsvägen,59.3472311,17.8945147,Södra Ängby
Pizzeria Islandstorget,Restaurang & Snabbmat,Cederströmsvägen,59.3466991,17.892908,Södra Ängby
Zorba Pizzeria,Restaurang & Snabbmat,Bällstavägen,59.3563838,17.9106348,Bromma kyrka
Lomsak thaiwok,Restaurang & Snabbmat,Spångavägen,59.3569646,17.9099118,Eneby
Café Blomma,Kafé,Åkeshovs Gårdsväg,59.3415549,17.9269697,Åkeshov
Waynes coffee,Kafé,Gårdsfogdevägen,59.356948,17.956732,Mariehäll
Coop Nära Minneberg,Matbutik,Svartviks Torg,59.3393269,17.9894805,Traneberg
Abrahamsbergs Sushi,Restaurang & Snabbmat,Bävervägen,59.3361288,17.952701,Abrahamsberg
Trafikskola,Trafikskola,Linta gårdsväg,59.3486749,17.9406777,Riksby
Thai isaan restaurang,Restaurang & Snabbmat,Voltavägen,59.345016,17.969834,Ulvsunda industriområde
Lekplats,Lekplats,Köpsvängen,59.3549796,17.9563841,Mariehäll
Lekplats,Lekplats,Emils Gata,59.3633596,17.9484247,Mariehäll
Gäddan,Lekplats,Ronja Rövardotters Stig,59.3635019,17.9474061,Mariehäll
STC,Gym/Utomhusgym,Annedalsvägen,59.3651762,17.9496682,Mariehäll
MLG Sushi,Restaurang & Snabbmat,Pippi Långstrumps Gata,59.3640664,17.9465871,Mariehäll
Kronans Apotek,Apotek,Vidängsplan,59.3330529,17.9805444,Alvik
Alviks Bibliotek,Bibliotek,Gustavslundsvägen,59.3327618,17.9823693,Alvik
Daiichi,Restaurang & Snabbmat,Tunnlandet,59.3390231,17.939339,Bromma
Joe & The Juice,Kafé,Gustavslundsvägen,59.3325288,17.9830495,Alvik
Rasmus grill,Restaurang & Snabbmat,Tunnlandet,59.3387764,17.9388636,Bromma
Systembolaget,Systembolag,Klädesvägen,59.3388216,17.9399936,Bromma
Circle K,Bensinmack,Alviksskälet,59.3329833,17.9755326,Alvik
Annedals Thai takeaway,Restaurang & Snabbmat,Bällstaågatan,59.3639396,17.9539292,Mariehäll
Max,Restaurang & Snabbmat,Ulvsundavägen,59.3505928,17.95733,Ulvsunda industriområde
Melanders Alvik,Restaurang & Snabbmat,Gustavslundsvägen,59.332443,17.9837094,Alvik
Restaurang Tryffel,Restaurang & Snabbmat,Porfyrvägen,59.3364592,17.9879367,Traneberg
Ålstensgatan 15,Kafé,Ålstensgatan,59.3236708,17.9569248,Ålsten
ICA Nära Annedal,Matbutik,Bällstavägen,59.3610384,17.9490899,Mariehäll
SATS Alvik,Gym/Utomhusgym,Gustavslundsvägen,59.3322677,17.9821,Alvik
Matleverantören,Restaurang & Snabbmat,Ranhammarsvägen,59.3494616,17.9620882,Bromma
Hammargrillen,Restaurang & Snabbmat,Ranhammarsvägen,59.3490816,17.9607815,Bromma
Lekplats,Lekplats,Sigrid Undsets gata,59.3471861,17.8871147,Blackeberg
Astrids skafferi,Restaurang & Snabbmat,Färjestadsvägen,59.341696,17.905837,Norra Ängby
Texas Longhorn,Restaurang & Snabbmat,Drottningholmsvägen,59.3367003,17.9569973,Ulvsunda
Robert E:S Choklad,Kafé,Grundtvigsgatan,59.3467144,17.8845991,Blackeberg
Lekplats,Lekplats,Grundtvigsgatan,59.3450877,17.8874242,Blackeberg
Lekplats,Lekplats,Thespisvägen,59.3267362,17.9339432,Höglandet
Ålstensgatan 18 Sushi,Restaurang & Snabbmat,Ålstensgatan,59.3232346,17.9561914,Ålsten
Dr. Fagerberg,Vårdcentral,Cronströmsvägen,59.3586181,17.9544319,Mariehäll
Brödernas,Restaurang & Snabbmat,Bergslagsvägen,59.347413,17.8939697,Södra Ängby
Hemköp Bromma Blackeberg C,Matbutik,Wergelandsgatan,59.3474912,17.8843764,Blackeberg
Blackebergs bibliotek,Bibliotek,Wergelandsgatan,59.3477669,17.8843846,Blackeberg
Apotek Hjärtat,Apotek,Vinjegatan,59.3481204,17.8840425,Blackeberg
Inari Sushi,Restaurang & Snabbmat,Vinjegatan,59.3478551,17.883272,Blackeberg
Johannesfredsgrillen,Restaurang & Snabbmat,Johannesfredsvägen,59.3437928,17.9700701,Ulvsunda industriområde
itrim,Gym/Utomhusgym,Drottningholmsvägen,59.3392618,17.9402272,Bromma
Brommarondellens Trafikskola,Trafikskola,Brommaplan,59.3389785,17.9394763,Bromma
Garros Bistro,Restaurang & Snabbmat,Gustavslundsvägen,59.3322143,17.9816828,Alvik
Pokeburger,Restaurang & Snabbmat,Gustavslundsvägen,59.3317992,17.9849072,Alvik
Gustafs Matsal & Bar,Restaurang & Snabbmat,Gustavslundsvägen,59.331474,17.9846622,Alvik
Fitness24Seven,Gym/Utomhusgym,Bällstavägen,59.3607139,17.9557816,Mariehäll
Bun Meat Bun,Restaurang & Snabbmat,Bällstavägen,59.3607344,17.9549192,Mariehäll
Lekplats,Lekplats,Beckomberga Ängsväg,59.3557406,17.8991898,Beckomberga
Lekplats,Lekplats,Torgnyvägen,59.3545067,17.8968533,Beckomberga
Takumi Sushi & Ramen,Restaurang & Snabbmat,Bällstavägen,59.3606282,17.9497799,Mariehäll
Mariehälls Pizzeria,Restaurang & Snabbmat,Bällstavägen,59.3606924,17.9494125,Mariehäll
Miss Goa,Restaurang & Snabbmat,Bällstavägen,59.3607868,17.9475027,Mariehäll
Neko Wok,Restaurang & Snabbmat,Köpsvängen,59.3559663,17.9547679,Mariehäll
Wienerkonditoriet,Kafé,Köpsvängen,59.3553007,17.9565688,Mariehäll
shish lebanse street food,Restaurang & Snabbmat,Köpsvängen,59.3560211,17.9549757,Mariehäll
Spisa Husmanskost,Restaurang & Snabbmat,Köpsvängen,59.355981,17.9550336,Mariehäll
Joe & The Juice,Kafé,Köpsvängen,59.3549986,17.9567167,Mariehäll
Nockeby trafikskola,Trafikskola,Arkitektvägen,59.3342969,17.9512407,Abrahamsberg
Blackebergsgrillen,Restaurang & Snabbmat,Blackebergsplan,59.3477646,17.8837209,Blackeberg
Jhonny's,Restaurang & Snabbmat,Blackebergsplan,59.3473406,17.8833606,Blackeberg
Lekplats,Lekplats,Poppelvägen,59.325213,17.9752862,Äppelviken
Lekplats,Lekplats,Blackebergsvägen,59.3372928,17.9008154,Södra Ängby
Bastard Burgers,Restaurang & Snabbmat,Gustavslundsvägen,59.3328103,17.9821701,Alvik
Abrahamsbergs Café,Kafé,Bävervägen,59.3354159,17.9520473,Stora mossen
Tandläkare Frida Sadeghi,Tandläkare,Gustav III:s Väg,59.334076,17.9492416,Abrahamsberg
art sushi | sashimi,Restaurang & Snabbmat,Gustavslundsvägen,59.3329284,17.9772143,Alvik
Georgian House,Restaurang & Snabbmat,Drottningholmsvägen,59.33733,17.9541981,Ulvsunda
Friskis & Svettis,Gym/Utomhusgym,Drottningholmsvägen,59.3377042,17.9488966,Bromma
Mack Ohlson,Bensinmack,Lusthusbacken,59.317936,17.9447798,Ålsten
Il Bicchiere,Restaurang & Snabbmat,Bågvägen,59.3221809,17.9555082,Ålsten
Ålstenstandläkarna,Tandläkare,Ålstensgatan,59.3239447,17.9564772,Ålsten
Effekt,Gym/Utomhusgym,Rörläggarvägen,59.3307953,17.9473003,Abrahamsberg
Maxi ICA Stormarknad Bromma,Matbutik,Köpsvängen,59.3537504,17.9562145,Mariehäll
Jarla Trafikskola,Trafikskola,Travbanevägen,59.3626452,17.9404182,Mariehäll
Dizin,Restaurang & Snabbmat,Arvid Mörnes väg,59.3479568,17.8771682,Blackeberg
Olivias krog,Restaurang & Snabbmat,Holbergsgatan,59.346484,17.8818327,Blackeberg
Kaskad,Biograf,Blackebergsplan,59.3475522,17.8829427,Blackeberg
Sushi Yama,Restaurang & Snabbmat,Köpsvängen,59.3536028,17.9570771,Ulvsunda industriområde
Espresso House,Kafé,Köpsvängen,59.355743,17.9555179,Mariehäll
Tasty Sushi,Restaurang & Snabbmat,Mariehällsvägen,59.3626003,17.9552586,Mariehäll
SATS Bromma Blocks,Gym/Utomhusgym,Köpsvängen,59.3533955,17.9566347,Mariehäll
Bistro Bromma,Restaurang & Snabbmat,Spångavägen,59.3541217,17.91538,Bromma kyrka
Kafé,Kafé,Ålstens Skogsväg,59.3152289,17.9661388,Smedslätten
Minnies Thai Kitchen (Fiskvagnen),Restaurang & Snabbmat,Bryggerivägen,59.3492328,17.9662725,Ulvsunda industriområde
Gym/Utomhusgym,Gym/Utomhusgym,Spångavägen,59.3612682,17.9047892,Eneby
Gym/Utomhusgym,Gym/Utomhusgym,Margretelundsvägen,59.3350183,17.9875133,Traneberg
Mille Gusti,Restaurang & Snabbmat,Bergslagsvägen,59.3469112,17.8950251,Södra Ängby
Il Forno Italiano,Restaurang & Snabbmat,Flygplatsinfarten,59.3552831,17.945607,Mariehäll
Restaurang & Snabbmat,Restaurang & Snabbmat,Flygplatsinfarten,59.355298,17.9458854,Mariehäll
Restaurang & Snabbmat,Restaurang & Snabbmat,Flygplatsinfarten,59.3553061,17.9453096,Mariehäll
Wok & Sushi,Restaurang & Snabbmat,Flygplatsinfarten,59.3553346,17.9450577,Mariehäll
Brödernas,Restaurang & Snabbmat,Kamomillagatan,59.3615294,17.949113,Mariehäll
STC,Gym/Utomhusgym,Bällstavägen,59.3610575,17.9481887,Mariehäll
PWR studio,Gym/Utomhusgym,Annedalsvägen,59.3647168,17.9508775,Mariehäll
Annedals Tandklinik,Tandläkare,Alfons Åbergs Gata,59.3651243,17.9467368,Mariehäll
Bromma fysioterapi,Fysioterapeut,Holbergsgatan,59.3470447,17.883942,Blackeberg
Stc,Gym/Utomhusgym,Grundtvigsgatan,59.3470485,17.8848402,Blackeberg
Salladsmagasinet Bromma,Restaurang & Snabbmat,Follingbogatan,59.3582783,17.8994003,Beckomberga
Lekplats,Lekplats,Grönviksvägen,59.3227145,17.9284398,Nockeby
Lekplats,Lekplats,Grönviksvägen,59.3201184,17.9432023,Ålsten
PanPan Sushi,Restaurang & Snabbmat,Nockeby Torg,59.3295844,17.9290369,Nockeby
Pissamai Thai Food,Restaurang & Snabbmat,Björnsonsgatan,59.3492013,17.8802891,Blackeberg
Nano Café,Kafé,Vinjegatan,59.3479723,17.8832788,Blackeberg
Raanthai Blackeberg,Matbutik,Vinjegatan,59.3480353,17.8841495,Blackeberg
Bistro Tarboush,Restaurang & Snabbmat,Blackebergsvägen,59.3459118,17.8929701,Södra Ängby
Ängby Tandläkarna,Tandläkare,Bergslagsvägen,59.3471271,17.8947734,Södra Ängby
Kompir,Restaurang & Snabbmat,Långskeppsgatan,59.3514662,17.8998872,Beckomberga
Maji,Restaurang & Snabbmat,Långskeppsgatan,59.3512818,17.9002803,Norra Ängby
Fotvårds Kliniken,Vårdcentral,Långskeppsgatan,59.3515469,17.8997241,Beckomberga
Brommagymnasterna,Fysioterapeut,Abrahamsbergsvägen,59.3347889,17.9514352,Abrahamsberg
Pizzeria Kaktusen,Restaurang & Snabbmat,Drottningholmsvägen,59.3376357,17.9522899,Riksby
Medstore,Apotek,Riksbyvägen,59.3411605,17.9443373,Riksby
Polonez Cafe & Deli,Kafé,Bergslagsvägen,59.3397115,17.9381491,Bromma
Tandläkare,Tandläkare,Ulvsundavägen,59.3351158,17.9688271,Ulvsunda
PWR GYM,Gym/Utomhusgym,Tappvägen,59.3639406,17.9501675,Mariehäll
Ruccola,Restaurang & Snabbmat,Bällstavägen,59.3605064,17.9547529,Mariehäll
Sushi Dumplings,Restaurang & Snabbmat,Emils Gata,59.3627067,17.9501658,Mariehäll
Italgotti,Restaurang & Snabbmat,Annedalsvägen,59.364388,17.9510147,Mariehäll
Di Manzo,Restaurang & Snabbmat,Alpvägen,59.3626378,17.9507768,Mariehäll
Café Lilla Hörnan,Kafé,Gårdsfogdevägen,59.3565575,17.9594494,Mariehäll
Damas,Restaurang & Snabbmat,Tackjärnsvägen,59.345331,17.9718496,Ulvsunda industriområde
Sweet Chili,Restaurang & Snabbmat,Ulvsundavägen,59.3531098,17.9587026,Ulvsunda industriområde
Fotia Kliniken,Vårdcentral,Gustavslundsvägen,59.3318908,17.9834316,Alvik
Banthai Fastfood,Restaurang & Snabbmat,Vidängsvägen,59.3361589,17.9792137,Traneberg
Tandläkare,Tandläkare,Drottningholmsvägen,59.3333043,17.9785204,Alvik
Deli Molinari,Restaurang & Snabbmat,Tranebergsvägen,59.3350001,17.9795483,Traneberg
Munlyckan,Tandläkare,Gustavslundsvägen,59.3327994,17.9783979,Alvik
You Train,Gym/Utomhusgym,Storsylsvägen,59.338091,17.9804192,Traneberg
Alviks Grillen,Restaurang & Snabbmat,Gustavslundsvägen,59.3329242,17.9794225,Alvik
Hemma Hos Annika,Restaurang & Snabbmat,Dybecksvägen,59.3474854,17.9004738,Norra Ängby
Lekplats,Lekplats,Tapetserarvägen,59.3302896,17.9454151,Olovslund
Lekplats,Lekplats,Johan Tillanders väg,59.3437051,17.8741436,Blackeberg
OKQ8 Bromma Flygplats/Solvalla,Bensinmack,Cumulusvägen,59.3610885,17.9408544,Mariehäll
Distriktstandvården Ålsten,Tandläkare,Ålstensgatan,59.3239757,17.9565442,Ålsten
Brommatandläkarna,Tandläkare,Rånövägen,59.3334499,17.9242,Nockeby
Capresi,Restaurang & Snabbmat,Ulvsundavägen,59.3560405,17.9551351,Mariehäll
Marolla,Restaurang & Snabbmat,Västerledstorget,59.329357,17.9681518,Stora mossen
Vietsmak,Restaurang & Snabbmat,Bällstavägen,59.3562527,17.9103006,Bromma kyrka
Shell,Bensinmack,Ulvsundavägen,59.340805,17.9611842,Ulvsunda
Stora Coop Bromma,Matbutik,Ulvsundavägen,59.3565785,17.9530154,Mariehäll
Willys Stockholm Bromma,Matbutik,Ulvsundavägen,59.3570495,17.9505295,Mariehäll
OKQ8 Bromma,Bensinmack,Brommaplan,59.3405266,17.940107,Bromma
Hemköp Garpes,Matbutik,Sobelgränd,59.3289709,17.9563616,Stora mossen
Grill,Restaurang & Snabbmat,Färjestadsvägen,59.34216,17.9070437,Norra Ängby
Sjöpaviljongen,Restaurang & Snabbmat,Tranebergs Strand,59.3316151,17.9862842,Traneberg
Alviksgrillen,Restaurang & Snabbmat,Gustavslundsvägen,59.332954,17.9793659,Alvik
Kalaset Strand,Restaurang & Snabbmat,Gustavslundsvägen,59.3281349,17.9848095,Alvik
Coop Tranebergsvägen,Matbutik,Tranebergsvägen,59.3354191,17.9694879,Ulvsunda
Lekplats,Lekplats,Tunnlandsvägen,59.3355526,17.94158,Åkeslund
Hemköp Bromma Ängby Torg,Matbutik,Ängby torg,59.3469686,17.9086154,Norra Ängby
Rimiparken,Lekplats,Rastvägen,59.3290962,17.9120625,Nockebyhov
Nockebygrillen,Restaurang & Snabbmat,Nockeby Kyrkväg,59.3291831,17.9277933,Nockeby
Lekplatsen Skeden,Lekplats,Åkeshovsvägen,59.334029,17.9322402,Åkeslund
Lekplats,Lekplats,Brålunden,59.3313191,17.9301361,Nockeby
Lekplats,Lekplats,Lillsjövägen,59.3387368,17.9560295,Ulvsunda
Krua Charoen,Restaurang & Snabbmat,Drottningholmsvägen,59.3346632,17.9665761,Ulvsunda
Kaffekannan,Lekplats,Grimstahamnsvägen,59.3330794,17.9212214,Nockeby
Bensinmack,Bensinmack,Bergslagsvägen,59.3462433,17.8940767,Södra Ängby
Systembolaget,Systembolag,Ulvsundavägen,59.3562551,17.9544105,Mariehäll
Lekplats,Lekplats,Båtparken stig,59.3395349,17.8971977,Södra Ängby
Blackebergs sjukhus,Sjukhus,Blackebergs Gårdsväg,59.3407915,17.880512,Bromma stadsdelsområde
Lekplats,Lekplats,Tranebergs Strand,59.3320825,17.9861251,Traneberg
Lekplats,Lekplats,Penselgränd,59.340241,17.8928267,Södra Ängby
Lekplats,Lekplats,Enhörningsgränd,59.3298094,17.9575759,Stora mossen
ICA Supermarket Bromma,Matbutik,Spångavägen,59.3566441,17.9114325,Bromma kyrka
Skogsbo,Kafé,Ålstens Skogsväg,59.3141158,17.9621571,Smedslätten
Lekplats,Lekplats,Alviksvägen,59.3168096,17.9614102,Smedslätten
Lekplats,Lekplats,Carl Larssons Väg,59.3416716,17.8950606,Södra Ängby
Bromma Kebab,Restaurang & Snabbmat,Köpsvängen,59.3569646,17.9479992,Mariehäll
Lekplats,Lekplats,Bällstavägen,59.360565,17.948583,Mariehäll
Lekplats,Lekplats,Adolfsbergsvägen,59.358611,17.954015,Mariehäll
Blacken,Lekplats,Grundtvigsgatan,59.3443791,17.8868159,Blackeberg
Lekplats,Lekplats,"Åkeshovs eljusspår 1,5 km",59.3439671,17.9261828,Åkeshov
Lekplats,Lekplats,Alpvägen,59.3627427,17.9536003,Mariehäll
Bubbelparken,Lekplats,Linabergsstigen,59.3620025,17.9535551,Mariehäll
Kratsbodaparken,Lekplats,Kratsbodavägen,59.3593326,17.9551604,Mariehäll
Lekplats,Lekplats,Fältmarskalksvägen,59.3385488,17.9623984,Ulvsunda
Flintsågen,Lekplats,Egilsvägen,59.3453476,17.9154268,Norra Ängby
Lekplats,Lekplats,Plommonvägen,59.3600995,17.917102,Eneby
Halstret,Lekplats,Anundsvägen,59.3526779,17.8912414,Beckomberga
Circle K Råcksta,Bensinmack,Råckstavägen,59.3517426,17.8866268,Råcksta
CNG Bromma,Bensinmack,Drottningholmsvägen,59.3377949,17.9343005,Bromma
Lekplats,Lekplats,Kyrkoherdevägen,59.3580854,17.9122928,Eneby
Lekplats,Lekplats,Västerledstorget,59.3291833,17.9686729,Stora mossen
Lekplats,Lekplats,Norlindsvägen,59.3550133,17.9148699,Bromma kyrka
Lekplats,Lekplats,Spångavägen,59.3548906,17.9146004,Bromma kyrka
Lekplats,Lekplats,Terserusvägen,59.3551456,17.9152635,Bromma kyrka
Lekplats,Lekplats,Plåtslagarvägen,59.3361083,17.9512623,Abrahamsberg
Lekplats,Lekplats,Gamla Bromstensvägen,59.3658062,17.9319645,Bällsta
Lekplats,Lekplats,Gamla Bromstensvägen,59.3658947,17.9315475,Bällsta
Lekplats,Lekplats,Ulvsunda Slottsväg,59.3359572,17.9698093,Ulvsunda
Daisy's,Restaurang & Snabbmat,Ulvsundavägen,59.3405556,17.9610049,Ulvsunda
Lekplats,Lekplats,Tranebergsvägen,59.3350013,17.9892837,Traneberg
Lekplats,Lekplats,Porfyrvägen,59.3351875,17.9885794,Traneberg
Lekplats,Lekplats,Olovslundsvägen,59.3301379,17.9398654,Olovslund
Lekplats,Lekplats,Vidängsvägen,59.3370409,17.9791944,Traneberg
Lekplats,Lekplats,Vidängsvägen,59.336901,17.9796752,Traneberg
Banthai Fastfood,Restaurang & Snabbmat,Vidängsvägen,59.3361837,17.9792432,Traneberg
Lekplats,Lekplats,Sigrid Undsets gata,59.3479467,17.8865396,Blackeberg
Lekplats,Lekplats,Björnsonsgatan,59.3480883,17.8790937,Blackeberg
Lekplats,Lekplats,Vidängsvägen,59.3390112,17.9790893,Traneberg
Lekplats,Lekplats,Johannesfredsvägen,59.3464,17.9718022,Ulvsunda industriområde
Lekplats,Lekplats,Strömkarlsvägen,59.3204437,17.9736502,Smedslätten
Pissamai Thai Food,Restaurang & Snabbmat,Björnsonsgatan,59.3492096,17.8802923,Blackeberg
Lekplats,Lekplats,Ibsengatan,59.3498935,17.8791903,Blackeberg
Bromma sjukhus,Sjukhus,Follingbogatan,59.3589933,17.9000524,Beckomberga
Lekplats,Lekplats,Basaltgränd,59.3621232,17.9014376,Beckomberga
Lekplats,Lekplats,Agatvägen,59.3627753,17.9007351,Eneby
Lekplats,Lekplats,Grundtvigsgatan,59.3442181,17.8878757,Blackeberg
Lekplats,Lekplats,Björnsonsgatan,59.3442311,17.8881535,Blackeberg
Lekplats,Lekplats,Grundtvigsgatan,59.344457,17.8874622,Blackeberg
Lekplats,Lekplats,Arvid Mörnes väg,59.3471618,17.8744826,Blackeberg
Lekplats,Lekplats,Liljegrensvägen,59.3491927,17.9015864,Norra Ängby
Lekplats,Lekplats,Doktor Abrahams väg,59.3555266,17.9232004,Bromma kyrka
Lekplats,Lekplats,Bällstavägen,59.3604986,17.9596633,Mariehäll
Klätterställningen,Lekplats,Bällstavägen,59.35625,17.9077124,Eneby
Gungorna,Lekplats,Bällstavägen,59.3554141,17.9064061,Eneby
Röda,Lekplats,Limonitvägen,59.3576513,17.9061278,Eneby
Lekparken,Lekplats,Alabastervägen,59.357505,17.9076272,Eneby
Runda,Lekplats,Bällstavägen,59.3569141,17.9081415,Eneby
Klätterställningen,Lekplats,Agatvägen,59.3604482,17.900692,Eneby
Lekplats,Lekplats,Beckombergavägen,59.3569531,17.9029208,Beckomberga
Lekplats,Lekplats,Ryggåsgatan,59.3321385,17.9746753,Alvik
Lillsjöns utegym,Gym/Utomhusgym,Kvarnbacksvägen,59.341955,17.9533817,Ulvsunda industriområde
Lekplats,Lekplats,Bårdgränd,59.3382888,17.9307205,Åkeshov
Pilspetsen,Lekplats,Stora Ängby Allé,59.3463961,17.9072244,Norra Ängby
Lekplats,Lekplats,Lummelundagatan,59.3565447,17.9025092,Beckomberga
Lekplats,Lekplats,Beckombergavägen,59.3570767,17.9024506,Beckomberga
Stenlabyrint,Lekplats,Agatvägen,59.3609893,17.900692,Eneby
Lekparken Operetten,Lekplats,Sigurdsvägen,59.3287285,17.9348156,Höglandet
ChopChop Asian Express,Restaurang & Snabbmat,Ulvsundavägen,59.3553016,17.9526324,Mariehäll
KFC,Restaurang & Snabbmat,Ulvsundavägen,59.3554815,17.9520125,Mariehäll
Pizza Hut,Restaurang & Snabbmat,Ulvsundavägen,59.3556839,17.9514308,Mariehäll
Lekplats,Lekplats,Bergslagsvägen,59.3428394,17.9215653,Åkeshov
Lekplats,Lekplats,Beckombergavägen,59.3430163,17.9219531,Åkeshov
Gym/Utomhusgym,Gym/Utomhusgym,"Åkeshovs eljusspår 1,5 km",59.3427563,17.9305386,Åkeshov
Lekplats,Lekplats,Beckombergavägen,59.3429567,17.9207375,Åkeshov
Lekplats,Lekplats,Vadmalsvägen,59.3398847,17.9429916,Bromma
Galonparken,Lekplats,Galonvägen,59.3402899,17.9469614,Riksby
Lekplats,Lekplats,Spångavägen,59.3408045,17.9375364,Bromma
Lekplats,Lekplats,Elias Lönnrots väg,59.3486093,17.8779232,Blackeberg
Lekplats,Lekplats,Klas Klättermus Gata,59.3639759,17.9526942,Mariehäll
Circle K,Bensinmack,Råckstavägen,59.351782,17.886488,Blackeberg
Lekplats,Lekplats,Björnsonsgatan,59.3441123,17.8865127,Blackeberg
Gym/Utomhusgym,Gym/Utomhusgym,Västerled,59.3288471,17.9640062,Stora mossen
Ängbybadet lekplats,Lekplats,Blackebergsvägen,59.3366757,17.8987654,Södra Ängby
Lekplats,Lekplats,Åkeshovsvägen,59.335594,17.9334947,Åkeslund
Gym/Utomhusgym,Gym/Utomhusgym,Linabergsstigen,59.3617969,17.9514533,Mariehäll
Lekplats,Lekplats,Björnsonsgatan,59.3486069,17.8805094,Blackeberg
Lekplats,Lekplats,Ulvsunda Strand,59.3484471,17.9737821,Ulvsunda industriområde
Lekplats,Lekplats,Johannesfredsvägen,59.3475138,17.9717403,Ulvsunda industriområde
Lekplats,Lekplats,Granbacken,59.343095,17.9611018,Ulvsunda industriområde
Solviks utegym,Gym/Utomhusgym,Ålstens Skogsväg,59.3155618,17.9663149,Smedslätten
Gym/Utomhusgym,Gym/Utomhusgym,Alviks strand,59.331536,17.9855691,Alvik
Gym/Utomhusgym,Gym/Utomhusgym,Tyska Bottens Väg,59.3295319,17.9136478,Nockebyhov
Lekplats,Lekplats,Masmästarvägen,59.3456536,17.9750334,Ulvsunda industriområde
Lekplats,Lekplats,Johannesfredsvägen,59.3455396,17.9718453,Ulvsunda industriområde
Lekplats,Lekplats,Tackjärnsvägen,59.3450769,17.9738385,Ulvsunda industriområde
Lekplats,Lekplats,Ståltrådsvägen,59.3454695,17.9723554,Ulvsunda industriområde
Lekplats,Lekplats,Ericavägen,59.3443887,17.9408692,Riksby
Lekplats,Lekplats,Kratsbodavägen,59.3591507,17.9555672,Mariehäll
Lekplats,Lekplats,Kratsbodavägen,59.359318,17.954757,Mariehäll
Lekplats,Lekplats,Kratsbodavägen,59.3594289,17.9547097,Mariehäll
Lekplats,Lekplats,Linabergsstigen,59.3620515,17.9535895,Mariehäll
Lekplats,Lekplats,Linabergsstigen,59.3621188,17.953856,Mariehäll
Lekplats,Lekplats,Alpvägen,59.3619661,17.9532735,Mariehäll
Lekplats,Lekplats,Linabergsstigen,59.3621122,17.9538933,Mariehäll
Lekplats,Lekplats,Alpvägen,59.3621558,17.9538113,Mariehäll
Lekplats,Lekplats,Emils Gata,59.3631834,17.9493822,Mariehäll
Lekplats,Lekplats,Emils Gata,59.3632078,17.9495308,Mariehäll
Lekplats,Lekplats,Emils Gata,59.3631328,17.949495,Mariehäll
Lekplats,Lekplats,Tappvägen,59.3631964,17.9492479,Mariehäll
Lekplats,Lekplats,Emils Gata,59.3632177,17.9495763,Mariehäll
Lekplats,Lekplats,Ronja Rövardotters Stig,59.3633327,17.9474769,Mariehäll
Lekplats,Lekplats,Ronja Rövardotters Stig,59.3634194,17.9473281,Mariehäll
Lekplats,Lekplats,Tegelbergsvägen,59.3583515,17.9529108,Mariehäll
Gym/Utomhusgym,Gym/Utomhusgym,Björnsonsgatan,59.3456372,17.8783771,Blackeberg
Snurran,Lekplats,Sopvägen,59.3184994,17.9544361,Ålsten
Sushiparken,Lekplats,Follingbogatan,59.3582993,17.9040448,Eneby
