id,kategori,namn,gatuadress,postnummer,stad,koordinat_east,koordinat_north
10704,förskola,Andante förskolor Utflyktsvägen,Utflyktsvägen 4,16841,Bromma,17.9115719,59.3302726
7680,förskola,Annedals Montessoriförskola,Pippi Långstrumps gata 35,16870,Bromma,17.9469495,59.3655816
9011,förskola,Bellmanskällans Montessoriförskola,Brådstupsvägen 5–9,12939,Hägersten,17.9585439,59.3044665
9533,förskola,Birkamyntet – Ängbybarnens förskolor,Vultejusvägen 59,16855,Bromma,17.9090027,59.3440481
10184,förskola,Björntjänst,Bäckbornas väg 17,16860,Bromma,17.9011908,59.3626829
7649,förskola,Blackebergs Montessoriförskola,Holbergsgatan 109,16845,Bromma,17.8848678,59.3446405
9536,förskola,Blomstermåla – Ängbybarnens förskolor,Frislandsvägen 1–3,16855,Bromma,17.8984523,59.3470737
7587,förskola,Blå Grodan,Missionsvägen 14,16733,Bromma,17.9764308,59.3408876
10148,förskola,Bromma enskilda skolas förskola,Mossvägen 7,16756,Bromma,17.9643291,59.3298378
6447,förskola,Bromma språkförskola,Marklandsbacken 2,16836,Bromma,17.9368963,59.3368174
10206,förskola,Brommakrokodilens Montessoriförskola,Grönviksvägen 107,16776,Bromma,17.9372579,59.320387
7700,förskola,Bullerbyn Johan Skyttes väg 325–327,Johan Skyttes väg 325-327,12558,Älvsjö,17.9816226,59.2809421
31055,förskola,Citrusgården,Folkparksvägen 161,12677,Hägersten,18.012481,59.2851239
7705,förskola,Ekbacken Svartlösavägen 128,Svartlösavägen 128,12558,Älvsjö,17.9803431,59.2774449
6645,förskola,Eken Sulvägen 52 A,Sulvägen 52 A,12640,Hägersten,18.0058888,59.2872902
8716,förskola,Ellen Fries,Ellen Fries gata 10,12950,Hägersten,17.9703718,59.287995
8722,förskola,Ellen Key,Ellen Keys Gata 83,12953,Hägersten,17.966073,59.2854065
7709,förskola,Fantasia,Vantörsvägen 225,12955,Hägersten,17.9598385,59.2830064
10381,förskola,Fiberpennan,Fastlagsvägen 68,12647,Hägersten,17.9968277,59.3035402
8674,förskola,Flyttfågeln,Stenkilsgatan 7,12652,Hägersten,17.9883258,59.3078217
10393,förskola,Fyra Elementen Djurkloun,Djurklouvägen 4,16763,Bromma,17.9658487,59.3176179
10397,förskola,Fyra Elementen Grävlingen,Grävlingsvägen 11,16756,Bromma,17.9712138,59.3315973
6906,förskola,Förskolan Ankarstocksvägen 12–14,Ankarstocksvägen 12–14,16864,Bromma,17.9294167,59.3668088
8333,förskola,Förskolan Beckombergavägen 76,Beckombergavägen 76,16854,Bromma,17.9165023,59.3457881
6361,förskola,Förskolan Bergviksvägen 89A,Bergviksvägen 89A,16763,Bromma,17.9573867,59.3226656
10132,förskola,Förskolan Bild & Tanke,Hägerstensvägen 301,12941,Hägersten,17.9609613,59.3005085
6515,förskola,Förskolan Björnsonsgatan 4,Björnsonsgatan 4,16843,Bromma,17.8780185,59.3462115
28259,förskola,Förskolan Bällstaågatan 62,Bällstaågatan 62,16870,Bromma,17.9545589,59.3638101
6534,förskola,Förskolan Bävervägen 43,Bävervägen 43,16830,Bromma,17.9536389,59.3340283
9524,förskola,Förskolan Dartanjangs gata 3,Dartanjangs gata 3,16872,Bromma,17.9449557,59.3620536
8284,förskola,Förskolan Djupdalsvägen 72–74,Djupdalsvägen 72–74,16772,Bromma,17.9370222,59.3303634
8293,förskola,Förskolan Drottningholmsvägen 510A,Drottningholmsvägen 510A,16839,Bromma,17.9265852,59.3355424
8276,förskola,Förskolan Författarvägen 29–31,Författarvägen 29-31,16775,Bromma,17.9339353,59.3255683
8328,förskola,Förskolan Gliavägen 128,Gliavägen 128,16858,Bromma,17.9290909,59.3523384
8323,förskola,Förskolan Gliavägen 130,Gliavägen 130 B,16858,Bromma,17.9290909,59.3523384
7756,förskola,Förskolan Grindslanten,Förskottsvägen 20,12932,Hägersten,17.9855229,59.2982032
8280,förskola,Förskolan Gubbkärrsvägen 29,Gubbkärrsvägen 29,16840,Bromma,17.9142267,59.3315458
28134,förskola,Förskolan Guldklimpar Lilla Äppelbo,Runda vägen 24A,16751,Bromma,17.9802691,59.3303711
9250,förskola,Förskolan Guldklimpar Äppelbo,Runda vägen 50,16751,Bromma,17.9784488,59.3319757
6558,förskola,Förskolan Gustav III:s väg 36,Gustav III:s väg 36,16830,Bromma,17.9462717,59.3338755
10543,förskola,Förskolan Hagelstavägen 24,Hagelstavägen 24,16866,Bromma,17.9479909,59.360717
28556,förskola,Förskolan Höjden,Kinnaredsgränd 69,12572,Älvsjö,18.030944,59.2897487
6379,förskola,Förskolan Johannesfredsvägen 27,Johannesfredsvägen 27,16868,Bromma,17.9731332,59.3469559
6566,förskola,Förskolan Karen Blixens gata 15,Karen Blixens gata 15,16844,Bromma,17.8733615,59.3461936
