namn,kategori,gata,lat,lon,stadsdel,stadsdelsomrade
"Kunskapsskolan Fruängen, 6–9",grundskolor,Ellen Keys gata 2,59.2882679,17.9654466,Fruängen,Hägersten-Älvsjö
"Kunskapsskolans resursskola Hägersten, 7–9",grundskolor,Riksdalervägen 5,59.2973388,17.9842989,Hägerstensåsen,Hägersten-Älvsjö
"Kämpetorpsskolan, F–9",grundskolor,Kedjevägen 57B,59.2869044,17.9923609,Solberga,Hägersten-Älvsjö
"Lunaskolan Bromma, 4–9",grundskolor,Johannesfredsvägen 43,59.3469559,17.9731332,Ulvsunda industriområde,Bromma
"Långbrodalsskolan, F–6",grundskolor,Sländvägen 3,59.2814279,17.9813112,Älvsjö,Hägersten-Älvsjö
"Magelungens grundskola Långbropark, 1–6",grundskolor,Solberga hagväg 4,59.2803534,18.0090102,Älvsjö,Hägersten-Älvsjö
"Magelungens grundskola Älvsjö, 7–9",grundskolor,Solberga Hagväg 1,59.2798171,18.0093465,Älvsjö,Hägersten-Älvsjö
"Mariehällsskolan, F–6",grundskolor,Tappvägen 23,59.3632135,17.9495845,Mariehäll,Bromma
"Midsommarkransens skola, F–9",grundskolor,Bäckvägen 1,59.3023898,17.9948889,Midsommarkransen,Hägersten-Älvsjö
Montessori Mondial Mälarhöjden,grundskolor,Traktörgränd 10,59.3014955,17.9472779,Mälarhöjden,Hägersten-Älvsjö
"Mälarhöjdens skola, F–9",grundskolor,Lugntorpsvägen 2,59.2975268,17.9566888,Mälarhöjden,Hägersten-Älvsjö
"Nockebyhovsskolan, F–3",grundskolor,Tyska Bottens väg 68,59.3335125,17.9065161,Nockebyhov,Bromma
"Norra Ängby skola, F–6",grundskolor,Vultejusvägen 20,59.3489677,17.9092484,Norra Ängby,Bromma
"Nya Elementar, F–9",grundskolor,Bergslagsvägen 80,59.3445421,17.9010568,Södra Ängby,Bromma
"Olovslundsskolan, F–6",grundskolor,Olovslundsvägen 23,59.3311661,17.9384342,Olovslund,Bromma
"Pilgrimsskolan, F–3",grundskolor,Pilgrimsvägen 1,59.3052052,18.0063419,Aspudden,Hägersten-Älvsjö
"Raoul Wallenbergskolan, F–9",grundskolor,Beckombergavägen 316,59.356212,17.9027052,Eneby,Bromma
"Sjöängsskolan, F–9",grundskolor,Gripsholmsvägen 29,59.2815743,18.0287637,Örby slott,Hägersten-Älvsjö
"Smedslättsskolan, F–6",grundskolor,Drömstigen 32,59.323855,17.967136,Smedslätten,Bromma
"Snitz grundskola, 7–9",grundskolor,Snickerigatan 4,59.2995333,17.9914611,Midsommarkransen,Hägersten-Älvsjö
"Solbergaskolan, F–6",grundskolor,Lerkrogsvägen 28,59.2902259,18.0060931,Västberga,Hägersten-Älvsjö
"Stefanskolan, F–9",grundskolor,Tegnebyvägen 30,59.3433235,17.9084713,Norra Ängby,Bromma
"Stockholm International Academy Hägersten, F–9",grundskolor,Sulvägen 52,59.2842816,18.00775,Solberga,Hägersten-Älvsjö
"Södra Ängby skola, F–9",grundskolor,Blackebergsvägen 100,59.3373376,17.8974141,Södra Ängby,Bromma
"Tellusborgsskolan, 6–9",grundskolor,Tellusborgsvägen 36,59.3020595,18.0055479,Midsommarkransen,Hägersten-Älvsjö
"Thea privata grundskola – Bromma, 6–9",grundskolor,Voltavägen 8,59.3456792,17.9696103,Ulvsunda industriområde,Bromma
"Ulvsundaskolan, F–3",grundskolor,Johannesfredsvägen 45,59.3469559,17.9731332,Ulvsunda industriområde,Bromma
"Vittra Telefonplan, F–9",grundskolor,Snickerigatan 3–4,59.2994897,17.9910968,Midsommarkransen,Hägersten-Älvsjö
"Västbergaskolan, F–9",grundskolor,Klensmedsvägen 2,59.2958759,17.9950632,Västberga,Hägersten-Älvsjö
"Västertorpsskolan, F–6",grundskolor,Störtloppsvägen 2–6,59.2927971,17.9678296,Västertorp,Hägersten-Älvsjö
"Ålstensskolan, F–6",grundskolor,Nyängsvägen 72–80,59.3256376,17.955415,Ålsten,Bromma
"Äppelviksskolan, 7–9",grundskolor,Alviksvägen 97,59.3239043,17.9746664,Äppelviken,Bromma
"Örbyskolan, F–9",grundskolor,Gamla Huddingevägen 425,59.2748688,18.0265722,Älvsjö,Hägersten-Älvsjö
"Östbergaskolan, F–6",grundskolor,Östbergabackarna 51–57,59.2885634,18.0383425,Östberga,
"Aspuddens skola, anpassad grundskola 1–9",anpassade_grundskolor,Blommensbergsvägen 166,59.3093396,17.9980291,Aspudden,Hägersten-Älvsjö
"Beckombergaskolan, anpassad grundskola F–6",anpassade_grundskolor,Styresman Sanders väg 14,59.3596442,17.9041467,Eneby,Bromma
"Fruängens skola, anpassad grundskola 1–9",anpassade_grundskolor,Fruängsgatan 57–61,59.2849719,17.9661492,Fruängen,Hägersten-Älvsjö
"Innovitaskolan Joriel grundskola och anpassad grundskola, F–9",anpassade_grundskolor,Bergtallsvägen 12,59.2817936,17.9695367,Älvsjö,Hägersten-Älvsjö
"Lunaskolan Bromma, anpassad grundskola 4–9",anpassade_grundskolor,Johannesfredsvägen 43,59.3469559,17.9731332,Ulvsunda industriområde,Bromma
"Midsommarkransens skola, anpassad grundskola 1–7",anpassade_grundskolor,Bäckvägen 1,59.3023898,17.9948889,Midsommarkransen,Hägersten-Älvsjö
"Nya Elementar, anpassad grundskola 1–9",anpassade_grundskolor,Bergslagsvägen 80,59.3445421,17.9010568,Södra Ängby,Bromma
"Olovslundsskolan, anpassad grundskola 1–6",anpassade_grundskolor,Olovslundsvägen 23,59.3311661,17.9384342,Olovslund,Bromma
"Solbergaskolan, anpassad grundskola, Broskolan, 1–6",anpassade_grundskolor,Lerkrogsvägen 28,59.2902259,18.0060931,Västberga,Hägersten-Älvsjö
"Solbergaskolan, anpassad grundskola, Mockasinen, 1–9",anpassade_grundskolor,Lerkrogsvägen 28,59.2902259,18.0060931,Västberga,Hägersten-Älvsjö
"Västbergaskolan, anpassad grundskola, 1–9",anpassade_grundskolor,Klensmedsvägen 2,59.2958759,17.9950632,Västberga,Hägersten-Älvsjö
"Västertorpsskolan, anpassad grundskola 1–6",anpassade_grundskolor,Störtloppsvägen 2,59.2911596,17.9698323,Västertorp,Hägersten-Älvsjö
Öppna förskolan Fruängen,öppen_förskola,Hanna Rydhs gata 5,59.2859588,17.9738024,Fruängen,Hägersten-Älvsjö
