Brottstyp,Stadsdelsområde,Förändring
Tvång & frihetsbrott,Skärholmen,26.7
Bilstöld,Södermalm,-33.1
Bostadsinbrott,Södermalm,-0.9
Cykelstöld,Södermalm,-0.6
Hot & ofredande,Södermalm,-6.2
Intrång & integritet,Södermalm,41.9
Misshandel,Södermalm,-3.3
Mordförsök,Södermalm,-30.0
Narkotikabrott,Södermalm,-16.2
Rån,Södermalm,-28.4
Sexualbrott,Södermalm,22.0
Skadegörelse,Södermalm,13.1
Totalt antal brott,Södermalm,5.3
Tvång & frihetsbrott,Södermalm,17.1
