Brottstyp,Stadsdelsområde,2021,2022,2023,2024,2025
Intrång & integritet,Kungsholmen,135.0,108.0,126.0,114.0,122.0
Misshandel,Kungsholmen,684.0,661.0,755.0,825.0,809.0
Mordförsök,Kungsholmen,6.0,14.0,11.0,7.0,4.0
Narkotikabrott,Kungsholmen,1457.0,1634.0,1817.0,1948.0,2068.0
Rån,Kungsholmen,59.0,62.0,48.0,41.0,35.0
Sexualbrott,Kungsholmen,219.0,202.0,241.0,256.0,211.0
Skadegörelse,Kungsholmen,4374.0,2799.0,2665.0,1860.0,1495.0
Totalt antal brott,Kungsholmen,17266.0,15442.0,16995.0,16856.0,16512.0
Tvång & frihetsbrott,Kungsholmen,40.0,14.0,23.0,37.0,29.0
Bilstöld,Norra innerstaden,0.0,0.0,0.0,128.0,96.0
Bostadsinbrott,Norra innerstaden,0.0,0.0,0.0,771.0,688.0
Cykelstöld,Norra innerstaden,0.0,0.0,0.0,1047.0,1010.0
Hot & ofredande,Norra innerstaden,0.0,0.0,0.0,1153.0,1261.0
Intrång & integritet,Norra innerstaden,0.0,0.0,0.0,149.0,165.0
Misshandel,Norra innerstaden,0.0,0.0,0.0,1219.0,1400.0
Mordförsök,Norra innerstaden,0.0,0.0,0.0,14.0,16.0
Narkotikabrott,Norra innerstaden,0.0,0.0,0.0,2695.0,2779.0
Rån,Norra innerstaden,0.0,0.0,0.0,75.0,59.0
Sexualbrott,Norra innerstaden,0.0,0.0,0.0,305.0,395.0
Skadegörelse,Norra innerstaden,0.0,0.0,0.0,3422.0,2168.0
Totalt antal brott,Norra innerstaden,0.0,0.0,0.0,27349.0,25595.0
Tvång & frihetsbrott,Norra innerstaden,0.0,0.0,0.0,61.0,56.0
Bilstöld,Skarpnäck,222.0,190.0,99.0,67.0,43.0
Bostadsinbrott,Skarpnäck,724.0,659.0,530.0,684.0,390.0
Cykelstöld,Skarpnäck,939.0,819.0,521.0,490.0,476.0
Hot & ofredande,Skarpnäck,982.0,926.0,972.0,1052.0,1034.0
Intrång & integritet,Skarpnäck,116.0,118.0,120.0,123.0,112.0
Misshandel,Skarpnäck,842.0,714.0,823.0,731.0,769.0
Mordförsök,Skarpnäck,15.0,11.0,15.0,21.0,19.0
Narkotikabrott,Skarpnäck,778.0,997.0,847.0,797.0,586.0
Rån,Skarpnäck,101.0,117.0,73.0,58.0,22.0
Sexualbrott,Skarpnäck,183.0,231.0,205.0,247.0,366.0
Skadegörelse,Skarpnäck,5762.0,5583.0,5080.0,4279.0,2702.0
Totalt antal brott,Skarpnäck,15685.0,16444.0,17503.0,16581.0,14155.0
Tvång & frihetsbrott,Skarpnäck,35.0,49.0,51.0,69.0,50.0
Bilstöld,Skärholmen,159.0,149.0,124.0,123.0,68.0
Bostadsinbrott,Skärholmen,759.0,522.0,479.0,496.0,370.0
Cykelstöld,Skärholmen,389.0,327.0,194.0,144.0,194.0
Hot & ofredande,Skärholmen,1491.0,1242.0,1421.0,1690.0,2099.0
Intrång & integritet,Skärholmen,154.0,113.0,121.0,208.0,147.0
Misshandel,Skärholmen,1469.0,1264.0,1486.0,1586.0,1514.0
Mordförsök,Skärholmen,35.0,35.0,59.0,37.0,34.0
Narkotikabrott,Skärholmen,1758.0,1621.0,1475.0,1244.0,1354.0
Rån,Skärholmen,194.0,87.0,116.0,45.0,47.0
Sexualbrott,Skärholmen,186.0,187.0,218.0,224.0,341.0
Skadegörelse,Skärholmen,3427.0,3121.0,3309.0,1941.0,1823.0
Totalt antal brott,Skärholmen,18214.0,16387.0,17730.0,16971.0,16821.0
Tvång & frihetsbrott,Skärholmen,103.0,86.0,141.0,90.0,114.0
Bilstöld,Stockholms kommun total,191.0,171.0,138.0,122.0,85.0
Bostadsinbrott,Stockholms kommun total,880.0,753.0,695.0,654.0,588.0
Cykelstöld,Stockholms kommun total,979.0,772.0,701.0,714.0,662.0
Hot & ofredande,Stockholms kommun total,1013.0,892.0,979.0,1140.0,1164.0
Intrång & integritet,Stockholms kommun total,133.0,121.0,121.0,140.0,156.0
Misshandel,Stockholms kommun total,1004.0,978.0,1017.0,1039.0,1072.0
Mordförsök,Stockholms kommun total,13.0,13.0,17.0,16.0,14.0
Narkotikabrott,Stockholms kommun total,1462.0,1547.0,1537.0,1655.0,1642.0
Rån,Stockholms kommun total,132.0,104.0,97.0,66.0,50.0
Sexualbrott,Stockholms kommun total,257.0,240.0,240.0,257.0,283.0
Skadegörelse,Stockholms kommun total,6509.0,4662.0,4687.0,3402.0,2736.0
Totalt antal brott,Stockholms kommun total,21308.0,19601.0,21402.0,20419.0,19159.0
Tvång & frihetsbrott,Stockholms kommun total,61.0,50.0,58.0,56.0,54.0
Bilstöld,Södermalm,181.0,139.0,124.0,121.0,81.0
Bostadsinbrott,Södermalm,1161.0,837.0,865.0,785.0,778.0
Cykelstöld,Södermalm,1504.0,1091.0,1083.0,1127.0,1120.0
Hot & ofredande,Södermalm,1098.0,1004.0,1026.0,1205.0,1130.0
Intrång & integritet,Södermalm,144.0,148.0,153.0,186.0,264.0
Misshandel,Södermalm,1248.0,1306.0,1329.0,1379.0,1334.0
Mordförsök,Södermalm,16.0,8.0,12.0,10.0,7.0
Narkotikabrott,Södermalm,2501.0,2358.0,2520.0,2577.0,2159.0
Rån,Södermalm,202.0,131.0,134.0,95.0,68.0
Sexualbrott,Södermalm,387.0,320.0,267.0,282.0,344.0
Skadegörelse,Södermalm,9689.0,7016.0,6340.0,3192.0,3611.0
Totalt antal brott,Södermalm,29404.0,25641.0,27138.0,23497.0,24746.0
Tvång & frihetsbrott,Södermalm,55.0,39.0,43.0,41.0,48.0
