Region,Tid,"Medelinkomst, tkr","Medianinkomst, tkr",Kommun
0980,2024,348.6,323.7,Gotland
1060,2024,347.7,319.5,Olofström
1080,2024,383.9,356.5,Karlskrona
1081,2024,344.3,318.2,Ronneby
1082,2024,364.0,334.1,Karlshamn
1083,2024,364.2,334.8,Sölvesborg
1214,2024,365.5,346.7,Svalöv
1230,2024,450.2,405.9,Staffanstorp
1231,2024,358.8,329.4,Burlöv
1233,2024,540.7,437.4,Vellinge
1256,2024,333.3,313.1,Östra Göinge
1257,2024,341.0,316.8,Örkelljunga
1260,2024,339.0,329.2,Bjuv
1261,2024,449.4,397.5,Kävlinge
1262,2024,568.5,466.3,Lomma
1263,2024,427.9,396.0,Svedala
1264,2024,377.9,352.2,Skurup
1265,2024,361.9,334.3,Sjöbo
1266,2024,357.3,331.4,Hörby
1267,2024,383.4,352.8,Höör
1270,2024,337.1,311.2,Tomelilla
1272,2024,347.8,328.6,Bromölla
1273,2024,345.4,319.9,Osby
1275,2024,324.6,296.6,Perstorp
1276,2024,339.5,319.8,Klippan
1277,2024,343.4,328.0,Åstorp
1278,2024,403.8,349.2,Båstad
1280,2024,379.4,336.5,Malmö
1281,2024,392.8,339.2,Lund
1282,2024,357.2,323.3,Landskrona
1283,2024,385.7,344.8,Helsingborg
1284,2024,416.4,364.7,Höganäs
1285,2024,369.1,344.4,Eslöv
1286,2024,388.5,349.3,Ystad
1287,2024,374.8,345.7,Trelleborg
1290,2024,360.8,335.6,Kristianstad
1291,2024,355.4,310.4,Simrishamn
1292,2024,399.0,360.6,Ängelholm
1293,2024,345.0,319.4,Hässleholm
1315,2024,336.5,331.0,Hylte
1380,2024,368.6,345.0,Halmstad
1381,2024,356.7,331.9,Laholm
1382,2024,360.9,338.0,Falkenberg
1383,2024,394.5,364.3,Varberg
1384,2024,479.5,420.5,Kungsbacka
1401,2024,476.0,432.2,Härryda
1402,2024,454.0,412.8,Partille
1407,2024,433.4,391.4,Öckerö
1415,2024,438.4,403.1,Stenungsund
1419,2024,426.7,384.5,Tjörn
1421,2024,378.7,345.2,Orust
1427,2024,396.4,357.3,Sotenäs
1430,2024,352.6,333.2,Munkedal
1435,2024,375.6,339.1,Tanum
1438,2024,348.3,319.6,Dals-Ed
1439,2024,334.0,320.4,Färgelanda
1440,2024,405.2,387.3,Ale
1441,2024,463.0,422.4,Lerum
1442,2024,371.6,358.9,Vårgårda
1443,2024,412.9,383.8,Bollebygd
1444,2024,362.0,339.7,Grästorp
1445,2024,343.2,326.1,Essunga
1446,2024,370.2,342.2,Karlsborg
1447,2024,325.7,297.7,Gullspång
1452,2024,359.9,346.2,Tranemo
1460,2024,335.0,308.3,Bengtsfors
1461,2024,329.3,308.7,Mellerud
1462,2024,368.1,352.6,Lilla Edet
1463,2024,364.4,343.1,Mark
1465,2024,340.8,323.8,Svenljunga
1466,2024,355.2,338.5,Herrljunga
1470,2024,344.4,329.7,Vara
1471,2024,362.5,348.9,Götene
1472,2024,345.8,333.1,Tibro
1473,2024,330.5,304.4,Töreboda
1480,2024,404.0,369.0,Göteborg
1481,2024,452.9,421.0,Mölndal
1482,2024,434.6,403.9,Kungälv
1484,2024,377.9,340.3,Lysekil
1485,2024,374.9,347.8,Uddevalla
1486,2024,409.8,359.0,Strömstad
1487,2024,365.6,343.6,Vänersborg
1488,2024,372.0,347.0,Trollhättan
1489,2024,395.7,364.5,Alingsås
1490,2024,368.5,345.1,Borås
1491,2024,366.6,346.2,Ulricehamn
1492,2024,338.8,313.1,Åmål
1493,2024,363.7,344.3,Mariestad
1494,2024,381.0,356.5,Lidköping
1495,2024,361.4,346.3,Skara
1496,2024,389.1,371.7,Skövde
1497,2024,362.3,340.6,Hjo
1498,2024,347.4,338.5,Tidaholm
1499,2024,352.6,336.2,Falköping
1715,2024,368.2,349.3,Kil
1730,2024,377.8,328.0,Eda
1737,2024,356.9,328.5,Torsby
1760,2024,347.2,321.4,Storfors
1761,2024,442.2,411.4,Hammarö
1762,2024,320.5,309.8,Munkfors
1763,2024,355.6,341.5,Forshaga
1764,2024,347.8,322.5,Grums
1765,2024,377.5,346.2,Årjäng
1766,2024,351.7,330.6,Sunne
1780,2024,375.3,352.4,Karlstad
1781,2024,343.1,317.6,Kristinehamn
1782,2024,313.5,291.7,Filipstad
1783,2024,326.1,308.8,Hagfors
1784,2024,358.6,333.4,Arvika
1785,2024,337.1,310.1,Säffle
1814,2024,386.3,361.0,Lekeberg
1860,2024,336.0,312.0,Laxå
1861,2024,352.0,337.3,Hallsberg
1862,2024,341.5,322.5,Degerfors
1863,2024,316.6,292.8,Hällefors
1864,2024,317.1,282.7,Ljusnarsberg
1880,2024,367.4,342.9,Örebro
1881,2024,371.4,354.4,Kumla
1882,2024,367.3,337.4,Askersund
1883,2024,372.6,348.4,Karlskoga
1884,2024,365.7,334.9,Nora
1885,2024,352.1,328.0,Lindesberg
1904,2024,333.8,309.9,Skinnskatteberg
1907,2024,356.7,341.3,Surahammar
1960,2024,350.2,329.1,Kungsör
1961,2024,355.2,337.4,Hallstahammar
1962,2024,350.0,318.7,Norberg
1980,2024,395.2,360.6,Västerås
1981,2024,351.5,328.7,Sala
1982,2024,351.5,326.8,Fagersta
1983,2024,351.7,329.2,Köping
1984,2024,354.2,324.5,Arboga
2021,2024,332.5,314.6,Vansbro
2023,2024,359.5,338.0,Malung-Sälen
2026,2024,363.5,339.8,Gagnef
2029,2024,363.1,329.6,Leksand
2031,2024,342.2,310.6,Rättvik
2034,2024,331.3,309.2,Orsa
2039,2024,340.2,319.7,Älvdalen
2061,2024,368.2,346.2,Smedjebacken
2062,2024,363.3,339.5,Mora
2080,2024,389.7,359.6,Falun
2081,2024,356.4,336.5,Borlänge
2082,2024,367.6,342.2,Säter
2083,2024,344.8,323.6,Hedemora
2084,2024,357.1,334.5,Avesta
2085,2024,367.7,338.6,Ludvika
2101,2024,337.3,306.6,Ockelbo
2104,2024,356.1,337.1,Hofors
2121,2024,331.0,315.7,Ovanåker
2132,2024,332.4,309.0,Nordanstig
2161,2024,340.1,314.1,Ljusdal
2180,2024,377.5,349.4,Gävle
2181,2024,363.7,333.4,Sandviken
2182,2024,340.5,314.4,Söderhamn
2183,2024,338.9,314.0,Bollnäs
2184,2024,366.1,335.8,Hudiksvall
2260,2024,344.2,322.6,Ånge
2262,2024,366.6,350.1,Timrå
2280,2024,349.8,324.7,Härnösand
2281,2024,390.3,364.6,Sundsvall
2282,2024,332.9,310.2,Kramfors
2283,2024,334.7,309.0,Sollefteå
2284,2024,379.6,354.2,Örnsköldsvik
2303,2024,330.9,307.1,Ragunda
2305,2024,328.5,307.8,Bräcke
2309,2024,385.2,362.4,Krokom
2313,2024,327.2,298.0,Strömsund
2321,2024,376.5,351.0,Åre
2326,2024,331.0,306.6,Berg
2361,2024,349.4,323.8,Härjedalen
2380,2024,371.5,347.4,Östersund
2401,2024,347.6,329.4,Nordmaling
2403,2024,329.3,301.9,Bjurholm
2404,2024,342.5,323.2,Vindeln
2409,2024,350.0,333.0,Robertsfors
2417,2024,344.4,325.1,Norsjö
2418,2024,357.1,331.7,Malå
2421,2024,347.6,320.2,Storuman
2422,2024,340.0,321.0,Sorsele
2425,2024,334.2,313.9,Dorotea
2460,2024,370.3,354.2,Vännäs
2462,2024,333.7,306.7,Vilhelmina
2463,2024,322.3,298.9,Åsele
2480,2024,377.8,359.6,Umeå
2481,2024,362.3,339.8,Lycksele
2482,2024,392.3,372.3,Skellefteå
2505,2024,364.8,340.5,Arvidsjaur
2506,2024,360.1,332.3,Arjeplog
2510,2024,363.5,331.8,Jokkmokk
2513,2024,331.3,300.4,Överkalix
2514,2024,363.0,332.2,Kalix
2518,2024,337.6,298.8,Övertorneå
2521,2024,351.6,318.8,Pajala
2523,2024,434.3,411.3,Gällivare
2560,2024,351.8,331.6,Älvsbyn
2580,2024,398.8,375.8,Luleå
2581,2024,388.1,364.2,Piteå
2582,2024,381.9,357.5,Boden
2583,2024,337.3,300.0,Haparanda
2584,2024,429.4,414.4,Kiruna
