% av total boende;Antal bostadsrätter;Antal hyresrätter;Antal äganderätter;ContentsCode;Region;Stadsdel;stadsdelsomrade;Statistikområde;Tid;Upplatelseform;Upplåtelseform_Stor;value
0,529138731;;3078;;Antal;0180R042_RegSO2025;Högdalen;;0180R042 Högdalen;2024;hyresrätt;Hyresrätt;3078
;;;;Antal;0180R042_RegSO2025;Högdalen;;0180R042 Högdalen;2024;uppgift saknas;Uppgift saknas;0
0,765690377;;;366;Antal;0180R043_RegSO2025;Höglandet;Bromma;0180R043 Höglandet;2024;äganderätt;Äganderätt;366
0,140167364;67;;;Antal;0180R043_RegSO2025;Höglandet;Bromma;0180R043 Höglandet;2024;bostadsrätt;Bostadsrätt;67
0,094142259;;45;;Antal;0180R043_RegSO2025;Höglandet;Bromma;0180R043 Höglandet;2024;hyresrätt;Hyresrätt;45
;;;;Antal;0180R043_RegSO2025;Höglandet;Bromma;0180R043 Höglandet;2024;uppgift saknas;Uppgift saknas;0
0,015801354;;;91;Antal;0180R044_RegSO2025;Hökarängen;;0180R044 Hökarängen;2024;äganderätt;Äganderätt;91
0,197430109;1137;;;Antal;0180R044_RegSO2025;Hökarängen;;0180R044 Hökarängen;2024;bostadsrätt;Bostadsrätt;1137
0,786768536;;4531;;Antal;0180R044_RegSO2025;Hökarängen;;0180R044 Hökarängen;2024;hyresrätt;Hyresrätt;4531
;;;;Antal;0180R044_RegSO2025;Hökarängen;;0180R044 Hökarängen;2024;uppgift saknas;Uppgift saknas;0
0,00022805;;;1;Antal;0180R045_RegSO2025;Johanneshov;;0180R045 Johanneshov;2024;äganderätt;Äganderätt;1
0,484606613;2125;;;Antal;0180R045_RegSO2025;Johanneshov;;0180R045 Johanneshov;2024;bostadsrätt;Bostadsrätt;2125
0,515165336;;2259;;Antal;0180R045_RegSO2025;Johanneshov;;0180R045 Johanneshov;2024;hyresrätt;Hyresrätt;2259
;;;;Antal;0180R045_RegSO2025;Johanneshov;;0180R045 Johanneshov;2024;uppgift saknas;Uppgift saknas;0
0,064654594;;;482;Antal;0180R046_RegSO2025;Kista;;0180R046 Kista;2024;äganderätt;Äganderätt;482
0,533735748;3979;;;Antal;0180R046_RegSO2025;Kista;;0180R046 Kista;2024;bostadsrätt;Bostadsrätt;3979
0,401609658;;2994;;Antal;0180R046_RegSO2025;Kista;;0180R046 Kista;2024;hyresrätt;Hyresrätt;2994
;;;;Antal;0180R046_RegSO2025;Kista;;0180R046 Kista;2024;uppgift saknas;Uppgift saknas;0
0;;;0;Antal;0180R047_RegSO2025;Klara-Jacob;;0180R047 Klara-Jacob;2024;äganderätt;Äganderätt;0
0,405172414;564;;;Antal;0180R047_RegSO2025;Klara-Jacob;;0180R047 Klara-Jacob;2024;bostadsrätt;Bostadsrätt;564
0,594827586;;828;;Antal;0180R047_RegSO2025;Klara-Jacob;;0180R047 Klara-Jacob;2024;hyresrätt;Hyresrätt;828
;;;;Antal;0180R047_RegSO2025;Klara-Jacob;;0180R047 Klara-Jacob;2024;uppgift saknas;Uppgift saknas;0
0;;;0;Antal;0180R048_RegSO2025;Kristineberg;;0180R048 Kristineberg;2024;äganderätt;Äganderätt;0
0,705306655;3243;;;Antal;0180R048_RegSO2025;Kristineberg;;0180R048 Kristineberg;2024;bostadsrätt;Bostadsrätt;3243
0,294693345;;1355;;Antal;0180R048_RegSO2025;Kristineberg;;0180R048 Kristineberg;2024;hyresrätt;Hyresrätt;1355
;;;;Antal;0180R048_RegSO2025;Kristineberg;;0180R048 Kristineberg;2024;uppgift saknas;Uppgift saknas;0
0;;;0;Antal;0180R049_RegSO2025;Kungsholm;;0180R049 Kungsholm;2024;äganderätt;Äganderätt;0
0,757338397;9572;;;Antal;0180R049_RegSO2025;Kungsholm;;0180R049 Kungsholm;2024;bostadsrätt;Bostadsrätt;9572
0,242661603;;3067;;Antal;0180R049_RegSO2025;Kungsholm;;0180R049 Kungsholm;2024;hyresrätt;Hyresrätt;3067
;;;;Antal;0180R049_RegSO2025;Kungsholm;;0180R049 Kungsholm;2024;uppgift saknas;Uppgift saknas;0
0,994516792;;;1451;Antal;0180R050_RegSO2025;Kälvesta;;0180R050 Kälvesta;2024;äganderätt;Äganderätt;1451
