Brottstyp,Stadsdelsområde,År
Bostadsinbrott,Södermalm,778.0
Cykelstöld,Södermalm,1120.0
Hot & ofredande,Södermalm,1130.0
Intrång & integritet,Södermalm,264.0
Misshandel,Södermalm,1334.0
Mordförsök,Södermalm,7.0
Narkotikabrott,Södermalm,2159.0
Rån,Södermalm,68.0
Sexualbrott,Södermalm,344.0
Skadegörelse,Södermalm,3611.0
Totalt antal brott,Södermalm,24746.0
Tvång & frihetsbrott,Södermalm,48.0
